time_captured,GOOGL_Volume
2006-01-03,13137450
2006-01-04,15292353
2006-01-05,10815661
2006-01-06,17759521
2006-01-09,12795837
2006-01-10,9104719
2006-01-11,9008664
2006-01-12,10125212
2006-01-13,7660220
2006-01-17,8335300
2006-01-18,20511176
2006-01-19,14539830
2006-01-20,41182889
2006-01-23,22768073
2006-01-24,15468453
2006-01-25,18746567
2006-01-26,12931382
2006-01-27,8459747
2006-01-30,8596167
2006-01-31,22449604
2006-02-01,27132792
2006-02-02,11810931
2006-02-03,18286547
2006-02-06,8948485
2006-02-07,16640139
2006-02-08,20818364
2006-02-09,11913420
2006-02-10,15223458
2006-02-13,19724806
2006-02-14,14658822
2006-02-15,12950205
2006-02-16,21346655
2006-02-17,14320187
2006-02-21,8690747
2006-02-22,6480739
2006-02-23,12555816
2006-02-24,6486245
2006-02-27,10218579
2006-02-28,39446833
2006-03-01,12065342
2006-03-02,18340198
2006-03-03,11965401
2006-03-06,8944987
2006-03-07,10458838
2006-03-08,11789648
2006-03-09,13930023
2006-03-10,19335603
2006-03-13,13647636
2006-03-14,18462895
2006-03-15,12772794
2006-03-16,10021478
2006-03-17,8558663
2006-03-20,10415814
2006-03-21,9858099
2006-03-22,7600389
2006-03-23,7784834
2006-03-24,15182162
2006-03-27,7026402
2006-03-28,8952532
2006-03-29,19345086
2006-03-30,14723626
2006-03-31,36514857
2006-04-03,8129930
2006-04-04,15725137
2006-04-05,13454976
2006-04-06,8599983
2006-04-07,7027980
2006-04-10,9325308
2006-04-11,11112419
2006-04-12,6021169
2006-04-13,6554861
2006-04-17,8261422
2006-04-18,8154780
2006-04-19,6786151
2006-04-20,12458412
2006-04-21,22559250
2006-04-24,8840100
2006-04-25,9569567
2006-04-26,7282287
2006-04-27,8359256
2006-04-28,7425666
2006-05-01,10367637
2006-05-02,13108333
2006-05-03,8075850
2006-05-04,4653255
2006-05-05,6069528
2006-05-08,5129461
2006-05-09,9143664
2006-05-10,6211308
2006-05-11,8898884
2006-05-12,10156524
2006-05-15,8594484
2006-05-16,5317198
2006-05-17,10664908
2006-05-18,5835892
2006-05-19,11399560
2006-05-22,8605568
2006-05-23,8985421
2006-05-24,9556510
2006-05-25,8198046
2006-05-26,3667717
2006-05-30,4315930
2006-05-31,7982732
2006-06-01,6280223
2006-06-02,6386442
2006-06-05,5559992
2006-06-06,10263036
2006-06-07,8912579
2006-06-08,10360552
2006-06-09,6159365
2006-06-12,5021083
2006-06-13,7662124
2006-06-14,7773360
2006-06-15,6788401
2006-06-16,5306979
2006-06-19,7634692
2006-06-20,4045219
2006-06-21,8745047
2006-06-22,6008179
2006-06-23,5314766
2006-06-26,3551178
2006-06-27,4107079
2006-06-28,3712699
2006-06-29,6662215
2006-06-30,6298846
2006-07-03,2156782
2006-07-05,4986307
2006-07-06,3687577
