time_captured,PFE_Volume
2006-01-03,38052400
2006-01-04,43972000
2006-01-05,42601900
2006-01-06,28523900
2006-01-09,28080300
2006-01-10,28630300
2006-01-11,28433800
2006-01-12,27020300
2006-01-13,20972000
2006-01-17,32153700
2006-01-18,33545600
2006-01-19,57615600
2006-01-20,51669200
2006-01-23,28819100
2006-01-24,29394200
2006-01-25,26369500
2006-01-26,41260900
2006-01-27,61031700
2006-01-30,32832700
2006-01-31,31365100
2006-02-01,28377800
2006-02-02,24681700
2006-02-03,27503200
2006-02-06,21774400
2006-02-07,28753100
2006-02-08,62030800
2006-02-09,46327300
2006-02-10,57863000
2006-02-13,24917300
2006-02-14,31597500
2006-02-15,28022900
2006-02-16,22623100
2006-02-17,25053000
2006-02-21,20905400
2006-02-22,29163200
2006-02-23,21884700
2006-02-24,19253200
2006-02-27,31139600
2006-02-28,29642600
2006-03-01,26933400
2006-03-02,19967000
2006-03-03,29213500
2006-03-06,21045700
2006-03-07,22852100
2006-03-08,25785300
2006-03-09,18755500
2006-03-10,22755900
2006-03-13,25587400
2006-03-14,23505400
2006-03-15,18394500
2006-03-16,22809600
2006-03-17,32125100
2006-03-20,18234100
2006-03-21,25516700
2006-03-22,22609900
2006-03-23,18097800
2006-03-24,17846100
2006-03-27,21305600
2006-03-28,24308200
2006-03-29,27871100
2006-03-30,23322300
2006-03-31,24385500
2006-04-03,20405300
2006-04-04,21795300
2006-04-05,17208400
2006-04-06,24630700
2006-04-07,20901200
2006-04-10,18306500
2006-04-11,23613300
2006-04-12,17777100
2006-04-13,18306000
2006-04-17,17250600
2006-04-18,25626900
2006-04-19,32855600
2006-04-20,24957300
2006-04-21,24964100
2006-04-24,22803200
2006-04-25,29488500
2006-04-26,30913600
2006-04-27,23856500
2006-04-28,27535700
2006-05-01,26476800
2006-05-02,23045900
2006-05-03,24999400
2006-05-04,26607400
2006-05-05,20104900
2006-05-08,20666300
2006-05-09,16592400
2006-05-10,28633900
2006-05-11,29035500
2006-05-12,28296900
2006-05-15,24852800
2006-05-16,22617400
2006-05-17,30841100
2006-05-18,31992400
2006-05-19,34600500
2006-05-22,28372900
2006-05-23,29718200
2006-05-24,25141400
2006-05-25,23895500
2006-05-26,23025900
2006-05-30,24227500
2006-05-31,23891900
2006-06-01,25077300
2006-06-02,21593300
2006-06-05,25615800
2006-06-06,26528800
2006-06-07,26887400
2006-06-08,34592300
2006-06-09,30464500
2006-06-12,20078100
2006-06-13,30941500
2006-06-14,29066800
2006-06-15,26874000
2006-06-16,30979000
2006-06-19,27816600
2006-06-20,47688800
2006-06-21,39343400
2006-06-22,23301000
2006-06-23,22250800
2006-06-26,31248900
2006-06-27,21514100
2006-06-28,19779900
2006-06-29,26130500
2006-06-30,31426000
2006-07-03,15778800
2006-07-05,30038700
2006-07-06,20205600
2006-07-07,17473900
2006-07-10,14216300
2006-07-11,27555500
2006-07-12,16845400
2006-07-13,25557400
2006-07-14,28384700
2006-07-17,23591800
2006-07-18,26775400
2006-07-19,33619900
2006-07-20,33487300
2006-07-21,37126300
2006-07-24,47421600
2006-07-25,29784800
2006-07-26,28435900
2006-07-27,35937000
2006-07-28,46959700
2006-07-31,51996400
2006-08-01,33453600
2006-08-02,60864900
2006-08-03,28400800
2006-08-04,31669500
2006-08-07,27551200
2006-08-08,35013100
2006-08-09,34623900
2006-08-10,23569700
2006-08-11,16296300
2006-08-14,22391200
2006-08-15,21984700
2006-08-16,29441900
2006-08-17,30338200
2006-08-18,26542100
2006-08-21,24153900
2006-08-22,24773300
2006-08-23,21203800
2006-08-24,22243700
2006-08-25,16386400
2006-08-28,28447100
2006-08-29,21228700
2006-08-30,25794400
2006-08-31,23038200
2006-09-01,23507400
2006-09-05,20173400
2006-09-06,29920700
2006-09-07,26310300
2006-09-08,18008800
2006-09-11,20385300
2006-09-12,37623200
2006-09-13,22070100
2006-09-14,20670000
2006-09-15,27578300
2006-09-18,21189300
2006-09-19,21323400
2006-09-20,27286200
2006-09-21,27219900
2006-09-22,19384700
2006-09-25,25477600
2006-09-26,25749800
2006-09-27,23895300
2006-09-28,20644700
2006-09-29,23966700
2006-10-02,22101300
2006-10-03,20261600
2006-10-04,27527100
2006-10-05,28959500
2006-10-06,27168600
2006-10-09,20825200
2006-10-10,29919300
2006-10-11,32409000
2006-10-12,26631800
2006-10-13,24523400
2006-10-16,19974600
2006-10-17,24995400
2006-10-18,31744300
2006-10-19,50349300
2006-10-20,48662600
2006-10-23,31466200
2006-10-24,50907700
2006-10-25,36126600
2006-10-26,41087800
2006-10-27,39664300
2006-10-30,33810000
2006-10-31,80651300
2006-11-01,39548300
2006-11-02,28864900
2006-11-03,27289100
2006-11-06,32654100
2006-11-07,45424500
2006-11-08,53064300
2006-11-09,83070400
2006-11-10,47054300
2006-11-13,41162300
2006-11-14,42344700
2006-11-15,39719900
2006-11-16,33037600
2006-11-17,47911300
2006-11-20,34239900
2006-11-21,28768900
2006-11-22,19438600
2006-11-24,11222600
2006-11-27,39010400
2006-11-28,31604600
2006-11-29,42728200
2006-11-30,59352900
2006-12-01,40178100
2006-12-04,289340500
2006-12-05,118600600
2006-12-06,49225200
2006-12-07,50887800
2006-12-08,43709600
2006-12-11,56135500
2006-12-12,42305000
2006-12-13,40458100
2006-12-14,36918700
2006-12-15,49870200
2006-12-18,38304000
2006-12-19,48695900
2006-12-20,46109700
2006-12-21,33846400
2006-12-22,20416200
2006-12-26,17824700
2006-12-27,24682000
2006-12-28,24014100
2006-12-29,27754400
2007-01-03,40645100
2007-01-04,32258100
2007-01-05,31355800
2007-01-08,43224400
2007-01-09,31321400
2007-01-10,34548400
2007-01-11,37245000
2007-01-12,29799900
2007-01-16,31184100
2007-01-17,36410000
2007-01-18,38579500
2007-01-19,33767900
2007-01-22,47969000
2007-01-23,51396800
2007-01-24,37937500
2007-01-25,35079200
2007-01-26,33066150
2007-01-29,33821900
2007-01-30,26400600
2007-01-31,34686700
2007-02-01,30715000
2007-02-02,35327300
2007-02-05,38498100
2007-02-06,23959600
2007-02-07,26899500
