time_captured,AMZN_Open
2006-01-03,47.47
2006-01-04,47.48
2006-01-05,47.16
2006-01-06,47.97
2006-01-09,46.55
2006-01-10,46.41
2006-01-11,45.65
2006-01-12,44.79
2006-01-13,44.48
2006-01-17,43.95
2006-01-18,43.19
2006-01-19,44.5
2006-01-20,44.23
2006-01-23,44.18
2006-01-24,43.66
2006-01-25,44.05
2006-01-26,43.95
2006-01-27,44.55
2006-01-30,45.41
2006-01-31,44.76
2006-02-01,43.92
2006-02-02,43.84
2006-02-03,37.7
2006-02-06,38.34
2006-02-07,38.08
2006-02-08,37.7
2006-02-09,38.61
2006-02-10,37.98
2006-02-13,38.25
2006-02-14,38.04
2006-02-15,38.24
2006-02-16,39.37
2006-02-17,38.93
2006-02-21,39.01
2006-02-22,38.31
2006-02-23,38.62
2006-02-24,38.25
2006-02-27,38.4
2006-02-28,37.79
2006-03-01,37.45
2006-03-02,35.64
2006-03-03,36.89
2006-03-06,37.32
2006-03-07,36.71
2006-03-08,36.72
2006-03-09,36.8
2006-03-10,36.24
2006-03-13,36.31
2006-03-14,36.04
2006-03-15,36.95
2006-03-16,37.08
2006-03-17,36.88
2006-03-20,35.92
2006-03-21,36.33
2006-03-22,36.0
2006-03-23,35.96
2006-03-24,35.72
2006-03-27,35.5
2006-03-28,35.21
2006-03-29,35.69
2006-03-30,36.45
2006-03-31,36.68
2006-04-03,36.67
2006-04-04,36.14
2006-04-05,36.66
2006-04-06,37.2
2006-04-07,38.55
2006-04-10,37.16
2006-04-11,36.61
2006-04-12,35.91
2006-04-13,35.95
2006-04-17,36.47
2006-04-18,35.39
2006-04-19,36.12
2006-04-20,36.7
2006-04-21,36.62
2006-04-24,36.12
2006-04-25,35.59
2006-04-26,35.34
2006-04-27,35.5
2006-04-28,35.77
2006-05-01,35.19
2006-05-02,34.64
2006-05-03,34.29
2006-05-04,34.62
2006-05-05,34.64
2006-05-08,34.99
2006-05-09,34.42
2006-05-10,34.68
2006-05-11,34.12
2006-05-12,33.56
2006-05-15,32.55
2006-05-16,32.84
2006-05-17,32.45
2006-05-18,31.71
2006-05-19,32.66
2006-05-22,33.96
2006-05-23,35.0
2006-05-24,33.41
2006-05-25,35.36
2006-05-26,35.66
2006-05-30,35.73
2006-05-31,34.74
2006-06-01,34.62
2006-06-02,34.68
2006-06-05,34.46
2006-06-06,33.58
2006-06-07,33.4
2006-06-08,33.55
2006-06-09,33.5
2006-06-12,34.0
2006-06-13,33.49
2006-06-14,33.5
2006-06-15,33.84
2006-06-16,34.88
2006-06-19,35.2
2006-06-20,35.01
2006-06-21,35.34
2006-06-22,36.55
2006-06-23,36.46
