time_captured,JNJ_High
2006-01-03,61.85
2006-01-04,62.64
2006-01-05,62.95
2006-01-06,62.74
2006-01-09,63.01
2006-01-10,63.1
2006-01-11,62.99
2006-01-12,62.55
2006-01-13,62.29
2006-01-17,62.07
2006-01-18,62.24
2006-01-19,62.62
2006-01-20,62.3
2006-01-23,61.24
2006-01-24,61.24
2006-01-25,61.0
2006-01-26,59.5
2006-01-27,59.21
2006-01-30,58.75
2006-01-31,58.34
2006-02-01,58.42
2006-02-02,58.38
2006-02-03,57.5
2006-02-06,57.56
2006-02-07,57.33
2006-02-08,58.74
2006-02-09,59.71
2006-02-10,58.76
2006-02-13,58.64
2006-02-14,59.27
2006-02-15,59.4
2006-02-16,59.45
2006-02-17,59.27
2006-02-21,59.32
2006-02-22,59.2
2006-02-23,59.06
2006-02-24,58.69
2006-02-27,58.55
2006-02-28,57.92
2006-03-01,57.82
2006-03-02,58.26
2006-03-03,58.12
2006-03-06,58.07
2006-03-07,58.31
2006-03-08,58.85
2006-03-09,58.97
2006-03-10,59.04
2006-03-13,59.37
2006-03-14,59.4
2006-03-15,59.95
2006-03-16,60.23
2006-03-17,60.4
2006-03-20,60.55
2006-03-21,60.84
2006-03-22,61.1
2006-03-23,60.9
2006-03-24,60.8
2006-03-27,60.4
2006-03-28,59.87
2006-03-29,59.8
2006-03-30,59.65
2006-03-31,59.73
2006-04-03,59.76
2006-04-04,59.31
2006-04-05,58.98
2006-04-06,58.74
2006-04-07,58.72
2006-04-10,57.91
2006-04-11,58.02
2006-04-12,57.99
2006-04-13,58.0
2006-04-17,57.82
2006-04-18,58.14
2006-04-19,58.38
2006-04-20,58.5
2006-04-21,58.6
2006-04-24,58.61
2006-04-25,58.45
2006-04-26,58.64
2006-04-27,58.92
2006-04-28,58.79
2006-05-01,58.78
2006-05-02,58.96
2006-05-03,58.7
2006-05-04,58.47
2006-05-05,58.82
2006-05-08,58.88
2006-05-09,58.79
2006-05-10,58.49
2006-05-11,59.07
2006-05-12,59.25
2006-05-15,60.01
2006-05-16,60.48
2006-05-17,60.79
2006-05-18,60.48
2006-05-19,60.24
2006-05-22,60.2
2006-05-23,60.55
2006-05-24,60.93
2006-05-25,60.91
2006-05-26,60.89
2006-05-30,60.55
2006-05-31,60.28
2006-06-01,60.7
2006-06-02,61.01
2006-06-05,60.5
2006-06-06,61.25
2006-06-07,61.69
2006-06-08,61.75
2006-06-09,61.68
2006-06-12,61.66
2006-06-13,61.69
2006-06-14,61.38
2006-06-15,61.51
2006-06-16,61.75
2006-06-19,61.68
2006-06-20,61.7
2006-06-21,61.9
2006-06-22,62.0
2006-06-23,61.74
2006-06-26,60.26
2006-06-27,60.26
2006-06-28,59.58
2006-06-29,60.15
2006-06-30,60.35
2006-07-03,60.38
2006-07-05,60.42
2006-07-06,60.69
2006-07-07,60.87
2006-07-10,60.99
2006-07-11,60.99
2006-07-12,60.95
2006-07-13,60.76
2006-07-14,61.06
2006-07-17,61.3
2006-07-18,61.02
2006-07-19,61.49
2006-07-20,61.73
2006-07-21,61.99
2006-07-24,62.0
2006-07-25,62.0
2006-07-26,62.15
2006-07-27,62.57
2006-07-28,63.0
2006-07-31,62.88
2006-08-01,62.85
2006-08-02,63.2
2006-08-03,63.34
2006-08-04,63.7
2006-08-07,63.44
2006-08-08,63.71
2006-08-09,63.72
2006-08-10,63.75
2006-08-11,63.79
2006-08-14,64.0
2006-08-15,64.48
2006-08-16,64.75
2006-08-17,64.68
2006-08-18,64.6
2006-08-21,64.58
2006-08-22,64.34
2006-08-23,64.06
2006-08-24,65.13
2006-08-25,64.89
2006-08-28,64.87
2006-08-29,64.65
2006-08-30,64.8
2006-08-31,64.74
2006-09-01,64.89
2006-09-05,64.74
2006-09-06,64.25
2006-09-07,63.7
2006-09-08,63.75
2006-09-11,64.06
2006-09-12,64.09
2006-09-13,64.03
2006-09-14,63.85
2006-09-15,64.14
2006-09-18,64.33
2006-09-19,64.2
2006-09-20,64.5
2006-09-21,64.41
2006-09-22,64.11
2006-09-25,64.34
2006-09-26,64.72
2006-09-27,64.87
2006-09-28,65.04
2006-09-29,65.01
2006-10-02,65.33
2006-10-03,65.68
2006-10-04,65.88
2006-10-05,65.64
2006-10-06,65.16
2006-10-09,65.0
2006-10-10,64.98
2006-10-11,65.2
2006-10-12,65.29
2006-10-13,65.74
2006-10-16,65.08
2006-10-17,66.5
2006-10-18,68.15
2006-10-19,68.22
2006-10-20,69.14
2006-10-23,69.41
2006-10-24,68.86
2006-10-25,68.95
2006-10-26,68.89
2006-10-27,68.64
2006-10-30,68.36
2006-10-31,67.8
2006-11-01,67.57
2006-11-02,68.0
2006-11-03,68.32
2006-11-06,68.49
2006-11-07,69.03
2006-11-08,68.3
2006-11-09,67.74
2006-11-10,66.31
2006-11-13,66.78
2006-11-14,66.73
2006-11-15,67.0
2006-11-16,66.64
2006-11-17,67.6
2006-11-20,67.6
2006-11-21,67.06
2006-11-22,66.95
2006-11-24,66.55
2006-11-27,65.83
2006-11-28,66.08
2006-11-29,66.32
2006-11-30,66.43
2006-12-01,66.06
2006-12-04,66.72
2006-12-05,66.37
