time_captured,JNJ_Volume
2006-01-03,10703200
2006-01-04,9068100
2006-01-05,9852600
2006-01-06,5919300
2006-01-09,7103700
2006-01-10,6658300
2006-01-11,8825400
2006-01-12,7262400
2006-01-13,7043600
2006-01-17,9674000
2006-01-18,7563200
2006-01-19,7494800
2006-01-20,11024900
2006-01-23,7217400
2006-01-24,19957500
2006-01-25,25369100
2006-01-26,15946100
2006-01-27,11596400
2006-01-30,11877600
2006-01-31,20564100
2006-02-01,13401700
2006-02-02,10014600
2006-02-03,11020300
2006-02-06,10619500
2006-02-07,10340700
2006-02-08,14627600
2006-02-09,12131500
2006-02-10,8158200
2006-02-13,5015500
2006-02-14,9817200
2006-02-15,8314500
2006-02-16,11893800
2006-02-17,6773400
2006-02-21,6489900
2006-02-22,8647200
2006-02-23,9753400
2006-02-24,10373500
2006-02-27,7037900
2006-02-28,8942200
2006-03-01,7142000
2006-03-02,7794500
2006-03-03,6464500
2006-03-06,7349500
2006-03-07,9560000
2006-03-08,7424500
2006-03-09,8570900
2006-03-10,9240900
2006-03-13,6219700
2006-03-14,7939300
2006-03-15,8900800
2006-03-16,10785400
2006-03-17,11512300
2006-03-20,5889200
2006-03-21,7880000
2006-03-22,7066500
2006-03-23,6951600
2006-03-24,5179200
2006-03-27,7469500
2006-03-28,7750000
2006-03-29,6977600
2006-03-30,7838600
2006-03-31,9704000
2006-04-03,9271700
2006-04-04,9507600
2006-04-05,8809200
2006-04-06,6432100
2006-04-07,8974300
2006-04-10,9309100
2006-04-11,9114500
2006-04-12,6708200
2006-04-13,7339900
2006-04-17,8810800
2006-04-18,12658300
2006-04-19,9145600
2006-04-20,7620000
2006-04-21,10014200
2006-04-24,8139300
2006-04-25,8543400
2006-04-26,10586800
2006-04-27,11577800
2006-04-28,8572000
2006-05-01,7541800
2006-05-02,5591900
2006-05-03,9377700
2006-05-04,7798600
2006-05-05,7062700
2006-05-08,5945400
2006-05-09,7158300
2006-05-10,7834700
2006-05-11,9805800
2006-05-12,10235800
2006-05-15,10778700
2006-05-16,8266000
2006-05-17,13707900
2006-05-18,8518000
2006-05-19,13160600
2006-05-22,9614200
