time_captured,AAPL_Volume
2006-01-03,201853036
2006-01-04,155225609
2006-01-05,112396081
2006-01-06,176139334
2006-01-09,168861224
2006-01-10,570088246
2006-01-11,373548882
2006-01-12,320201966
2006-01-13,194153393
2006-01-17,209215265
2006-01-18,303279501
2006-01-19,424100026
2006-01-20,284634847
2006-01-23,264942587
2006-01-24,285661873
2006-01-25,319019939
2006-01-26,295599087
2006-01-27,238597205
2006-01-30,349600251
2006-01-31,228385745
2006-02-01,130335751
2006-02-02,176898442
2006-02-03,173040616
2006-02-06,413058506
2006-02-07,347308367
2006-02-08,238316400
2006-02-09,287548464
2006-02-10,440118924
2006-02-13,220907862
2006-02-14,290278597
2006-02-15,290010133
2006-02-16,238485674
2006-02-17,143999667
2006-02-21,194941775
2006-02-22,244625822
2006-02-23,214376771
2006-02-24,133695940
2006-02-27,197844178
2006-02-28,316873795
2006-03-01,190969667
2006-03-02,156396212
2006-03-03,184453752
2006-03-06,228326098
2006-03-07,218252139
2006-03-08,163362941
2006-03-09,200066888
2006-03-10,260848945
2006-03-13,215353642
2006-03-14,160606033
2006-03-15,223075713
2006-03-16,187491724
2006-03-17,203339045
2006-03-20,151394348
2006-03-21,336340998
2006-03-22,336610162
2006-03-23,357384216
2006-03-24,268055312
2006-03-27,277211795
2006-03-28,342609232
2006-03-29,586873056
2006-03-30,347752734
2006-03-31,203795606
2006-04-03,204050861
2006-04-04,233062347
2006-04-05,558735429
2006-04-06,666021972
2006-04-07,386345799
2006-04-10,226013844
2006-04-11,234875172
2006-04-12,185108441
2006-04-13,183726809
2006-04-17,180579238
2006-04-18,198762067
2006-04-19,273009513
2006-04-20,416848656
2006-04-21,197305073
2006-04-24,176786477
2006-04-25,132274121
2006-04-26,177740101
2006-04-27,211504636
2006-04-28,190039059
2006-05-01,187648454
2006-05-02,192989167
2006-05-03,171823547
2006-05-04,215121025
2006-05-05,140991494
2006-05-08,148733466
2006-05-09,132929601
2006-05-10,116871398
2006-05-11,203225876
2006-05-12,160487649
2006-05-15,132447357
2006-05-16,234296020
2006-05-17,188588022
2006-05-18,164673677
2006-05-19,246551102
2006-05-22,179765600
2006-05-23,173698427
2006-05-24,229060643
2006-05-25,115943233
2006-05-26,108253677
2006-05-30,140877366
2006-05-31,320287275
2006-06-01,235683301
2006-06-02,171477040
2006-06-05,151478782
2006-06-06,181533156
2006-06-07,187697566
2006-06-08,349379527
2006-06-09,193989705
2006-06-12,179495638
2006-06-13,270235462
2006-06-14,219600556
2006-06-15,297634596
2006-06-16,209574561
2006-06-19,180417335
2006-06-20,168256067
2006-06-21,215992539
2006-06-22,241859744
2006-06-23,165050249
2006-06-26,116633328
2006-06-27,137657800
2006-06-28,212766806
2006-06-29,218812587
