time_captured,AAPL_Open
2006-01-03,10.34
2006-01-04,10.73
2006-01-05,10.69
2006-01-06,10.75
2006-01-09,10.96
2006-01-10,10.89
2006-01-11,11.98
2006-01-12,12.14
2006-01-13,12.14
2006-01-17,12.24
2006-01-18,11.87
2006-01-19,11.61
2006-01-20,11.33
2006-01-23,10.87
2006-01-24,11.25
2006-01-25,11.06
2006-01-26,10.65
2006-01-27,10.42
2006-01-30,10.17
2006-01-31,10.79
2006-02-01,10.71
2006-02-02,10.73
2006-02-03,10.32
2006-02-06,10.29
2006-02-07,9.75
2006-02-08,9.78
2006-02-09,9.87
2006-02-10,9.31
2006-02-13,9.52
2006-02-14,9.3
2006-02-15,9.59
2006-02-16,9.99
2006-02-17,10.04
2006-02-21,10.08
2006-02-22,9.86
2006-02-23,10.26
2006-02-24,10.31
2006-02-27,10.28
2006-02-28,10.23
2006-03-01,9.83
2006-03-02,9.86
2006-03-03,9.91
2006-03-06,9.67
2006-03-07,9.39
2006-03-08,9.47
2006-03-09,9.43
2006-03-10,9.14
2006-03-13,9.29
2006-03-14,9.4
2006-03-15,9.67
2006-03-16,9.55
2006-03-17,9.25
2006-03-20,9.32
2006-03-21,9.18
2006-03-22,8.88
2006-03-23,8.83
2006-03-24,8.61
2006-03-27,8.62
2006-03-28,8.52
2006-03-29,8.45
2006-03-30,8.97
2006-03-31,9.04
2006-04-03,9.1
2006-04-04,8.87
2006-04-05,9.24
2006-04-06,9.76
2006-04-07,10.13
2006-04-10,10.04
2006-04-11,9.86
2006-04-12,9.72
2006-04-13,9.48
2006-04-17,9.5
2006-04-18,9.29
2006-04-19,9.55
2006-04-20,9.93
2006-04-21,9.74
2006-04-24,9.55
2006-04-25,9.42
2006-04-26,9.52
2006-04-27,9.68
2006-04-28,9.91
2006-05-01,10.11
2006-05-02,10.02
2006-05-03,10.26
2006-05-04,10.17
2006-05-05,10.27
2006-05-08,10.43
2006-05-09,10.26
2006-05-10,10.18
2006-05-11,10.11
2006-05-12,9.69
2006-05-15,9.62
2006-05-16,9.73
2006-05-17,9.24
2006-05-18,9.38
2006-05-19,9.04
2006-05-22,9.12
2006-05-23,9.27
2006-05-24,9.0
2006-05-25,9.18
2006-05-26,9.19
2006-05-30,9.04
2006-05-31,8.82
2006-06-01,8.55
2006-06-02,8.92
2006-06-05,8.74
2006-06-06,8.6
2006-06-07,8.59
2006-06-08,8.35
2006-06-09,8.74
2006-06-12,8.49
2006-06-13,8.23
2006-06-14,8.33
2006-06-15,8.19
2006-06-16,8.42
2006-06-19,8.26
2006-06-20,8.23
2006-06-21,8.25
2006-06-22,8.31
2006-06-23,8.53
2006-06-26,8.45
2006-06-27,8.44
2006-06-28,8.18
2006-06-29,8.11
2006-06-30,8.23
2006-07-03,8.22
2006-07-05,8.16
2006-07-06,8.16
2006-07-07,7.93
2006-07-10,7.96
2006-07-11,7.87
2006-07-12,7.88
2006-07-13,7.43
2006-07-14,7.5
2006-07-17,7.39
2006-07-18,7.59
2006-07-19,7.57
2006-07-20,8.71
2006-07-21,8.55
2006-07-24,8.75
2006-07-25,8.83
2006-07-26,8.86
2006-07-27,9.22
2006-07-28,9.13
2006-07-31,9.55
2006-08-01,9.6
