time_captured,GE_Low
2006-01-03,34.8
2006-01-04,35.1
2006-01-05,35.1
2006-01-06,35.19
2006-01-09,35.24
2006-01-10,35.05
2006-01-11,35.1
2006-01-12,34.94
2006-01-13,34.8
2006-01-17,34.82
2006-01-18,34.61
2006-01-19,34.5
2006-01-20,33.22
2006-01-23,33.26
2006-01-24,32.91
2006-01-25,32.65
2006-01-26,32.74
2006-01-27,32.75
2006-01-30,32.7
2006-01-31,32.63
2006-02-01,32.64
2006-02-02,32.88
2006-02-03,32.77
2006-02-06,32.65
2006-02-07,32.21
2006-02-08,32.23
2006-02-09,32.76
2006-02-10,32.87
2006-02-13,33.08
2006-02-14,33.04
2006-02-15,33.26
2006-02-16,33.06
2006-02-17,33.29
2006-02-21,33.22
2006-02-22,33.5
2006-02-23,33.21
2006-02-24,33.02
2006-02-27,33.11
2006-02-28,32.85
2006-03-01,32.7
2006-03-02,32.58
2006-03-03,32.73
2006-03-06,32.95
2006-03-07,33.01
2006-03-08,33.01
2006-03-09,33.16
2006-03-10,33.26
2006-03-13,33.43
2006-03-14,33.48
2006-03-15,33.78
2006-03-16,34.34
2006-03-17,34.4
2006-03-20,34.4
2006-03-21,34.28
2006-03-22,34.34
2006-03-23,34.01
2006-03-24,33.89
2006-03-27,33.69
2006-03-28,33.49
2006-03-29,33.55
2006-03-30,34.05
2006-03-31,34.72
2006-04-03,34.59
2006-04-04,34.32
2006-04-05,34.39
2006-04-06,34.12
2006-04-07,34.01
2006-04-10,33.8
2006-04-11,33.63
2006-04-12,34.17
2006-04-13,33.61
2006-04-17,33.07
2006-04-18,33.21
2006-04-19,33.5
2006-04-20,33.63
2006-04-21,33.68
2006-04-24,33.8
2006-04-25,33.8
2006-04-26,33.88
2006-04-27,33.89
2006-04-28,34.35
2006-05-01,34.32
2006-05-02,34.1
2006-05-03,34.19
2006-05-04,34.48
2006-05-05,34.87
2006-05-08,34.97
2006-05-09,34.9
2006-05-10,34.5
2006-05-11,34.13
2006-05-12,34.18
2006-05-15,34.08
2006-05-16,34.71
2006-05-17,34.4
2006-05-18,34.14
2006-05-19,33.95
2006-05-22,34.02
2006-05-23,33.91
2006-05-24,33.7
2006-05-25,34.02
2006-05-26,34.1
2006-05-30,34.01
2006-05-31,33.97
2006-06-01,34.22
2006-06-02,34.48
2006-06-05,34.18
2006-06-06,34.21
2006-06-07,34.4
2006-06-08,33.94
2006-06-09,33.92
2006-06-12,33.86
2006-06-13,33.71
2006-06-14,33.66
2006-06-15,33.6
2006-06-16,33.65
2006-06-19,33.64
2006-06-20,33.54
2006-06-21,33.44
2006-06-22,33.14
2006-06-23,33.11
2006-06-26,32.92
2006-06-27,32.88
2006-06-28,32.78
2006-06-29,32.88
2006-06-30,32.94
2006-07-03,33.09
2006-07-05,33.15
2006-07-06,33.3
2006-07-07,33.21
2006-07-10,33.1
2006-07-11,32.99
2006-07-12,33.0
2006-07-13,32.56
2006-07-14,32.06
2006-07-17,32.08
2006-07-18,32.25
2006-07-19,32.49
2006-07-20,32.48
2006-07-21,32.2
2006-07-24,32.29
2006-07-25,32.45
2006-07-26,32.48
2006-07-27,32.54
2006-07-28,32.74
2006-07-31,32.68
2006-08-01,32.48
2006-08-02,32.42
2006-08-03,32.43
2006-08-04,32.6
2006-08-07,32.51
2006-08-08,32.2
2006-08-09,32.24
2006-08-10,32.24
2006-08-11,32.42
2006-08-14,32.63
2006-08-15,33.04
2006-08-16,33.32
2006-08-17,33.65
2006-08-18,33.71
2006-08-21,33.77
2006-08-22,33.68
2006-08-23,33.6
2006-08-24,33.75
2006-08-25,33.71
2006-08-28,33.7
2006-08-29,33.9
2006-08-30,34.19
2006-08-31,34.01
2006-09-01,34.02
2006-09-05,33.92
2006-09-06,33.85
2006-09-07,33.83
2006-09-08,33.88
2006-09-11,33.76
2006-09-12,34.38
2006-09-13,34.49
2006-09-14,34.5
2006-09-15,34.72
2006-09-18,34.61
2006-09-19,34.6
2006-09-20,34.65
2006-09-21,34.25
2006-09-22,34.27
2006-09-25,34.33
2006-09-26,34.89
2006-09-27,35.17
2006-09-28,35.22
