time_captured,VZ_Volume
2006-01-03,12903800
2006-01-04,31004500
2006-01-05,20664000
2006-01-06,57704300
2006-01-09,17600000
2006-01-10,30254800
2006-01-11,19609600
2006-01-12,24601600
2006-01-13,20380200
2006-01-17,18634600
2006-01-18,15106600
2006-01-19,16658200
2006-01-20,13577500
2006-01-23,10590800
2006-01-24,12571300
2006-01-25,12102300
2006-01-26,14539200
2006-01-27,15859700
2006-01-30,11254400
2006-01-31,12090900
2006-02-01,15500600
2006-02-02,10022000
2006-02-03,11965600
2006-02-06,8868000
2006-02-07,7631500
2006-02-08,20371000
2006-02-09,14525700
2006-02-10,13706300
2006-02-13,9949000
2006-02-14,16445000
2006-02-15,19554300
2006-02-16,12173200
2006-02-17,13900900
2006-02-21,14122300
2006-02-22,11467700
2006-02-23,9207500
2006-02-24,7734900
2006-02-27,10444300
2006-02-28,10824900
2006-03-01,8349800
2006-03-02,10426200
2006-03-03,12672000
2006-03-06,19214600
2006-03-07,7245700
2006-03-08,10491500
2006-03-09,10765800
2006-03-10,9774400
2006-03-13,8951400
2006-03-14,12995300
2006-03-15,8076700
2006-03-16,9610300
2006-03-17,14646700
2006-03-20,10706500
2006-03-21,9119000
2006-03-22,9297800
2006-03-23,7965300
2006-03-24,9612800
2006-03-27,10780600
2006-03-28,9591600
2006-03-29,7823800
2006-03-30,13231900
2006-03-31,18134000
2006-04-03,13534100
2006-04-04,6894100
2006-04-05,9062700
2006-04-06,9662900
2006-04-07,11708100
2006-04-10,7775000
2006-04-11,13245200
2006-04-12,9476100
2006-04-13,6344300
2006-04-17,7716600
2006-04-18,11262600
2006-04-19,9015400
2006-04-20,10972900
2006-04-21,10354700
2006-04-24,6498500
2006-04-25,8488400
2006-04-26,10981800
2006-04-27,9438200
2006-04-28,9614000
2006-05-01,10933400
2006-05-02,10027300
2006-05-03,8461300
2006-05-04,7795800
2006-05-05,9223200
2006-05-08,6404800
2006-05-09,5602900
2006-05-10,14120700
2006-05-11,11134200
2006-05-12,10032400
2006-05-15,11439400
2006-05-16,7583500
2006-05-17,13855600
2006-05-18,12361100
2006-05-19,17431500
2006-05-22,11608800
2006-05-23,10707500
2006-05-24,9863500
2006-05-25,6579500
2006-05-26,6223300
2006-05-30,7508200
2006-05-31,10341800
2006-06-01,11650300
2006-06-02,8703900
2006-06-05,6675100
2006-06-06,11353900
2006-06-07,9850400
2006-06-08,13403500
2006-06-09,6498300
2006-06-12,5686100
2006-06-13,11736400
2006-06-14,9096500
2006-06-15,11671100
2006-06-16,14107800
2006-06-19,10326700
2006-06-20,15714800
2006-06-21,17187400
2006-06-22,11829400
2006-06-23,8239900
2006-06-26,9124400
2006-06-27,9470600
2006-06-28,7704000
2006-06-29,10327900
2006-06-30,10608000
2006-07-03,4265500
2006-07-05,9617100
2006-07-06,9430400
2006-07-07,8429600
2006-07-10,6292200
2006-07-11,9478200
2006-07-12,7678300
2006-07-13,7897700
2006-07-14,7227600
2006-07-17,6877500
2006-07-18,7002400
2006-07-19,11107500
2006-07-20,8552000
2006-07-21,9605800
2006-07-24,8034800
2006-07-25,11914300
2006-07-26,12301200
2006-07-27,10897600
2006-07-28,8413300
2006-07-31,11415900
2006-08-01,14247500
2006-08-02,8509000
2006-08-03,7023300
2006-08-04,7130700
2006-08-07,6917700
2006-08-08,7436300
2006-08-09,13024800
2006-08-10,7086800
2006-08-11,7265200
2006-08-14,6121500
2006-08-15,9899800
2006-08-16,7146800
2006-08-17,9781100
2006-08-18,10150600
2006-08-21,6353400
2006-08-22,6807700
2006-08-23,10378000
2006-08-24,7065000
2006-08-25,4511200
2006-08-28,7765600
2006-08-29,8362700
2006-08-30,7309700
2006-08-31,5180800
2006-09-01,7059700
2006-09-05,6282700
2006-09-06,7606800
2006-09-07,8444000
2006-09-08,5563900
2006-09-11,5701600
2006-09-12,13874000
2006-09-13,7406100
2006-09-14,6384400
2006-09-15,9032800
2006-09-18,7276500
2006-09-19,6691700
2006-09-20,10830000
2006-09-21,16969400
2006-09-22,13557900
2006-09-25,13193100
2006-09-26,20880000
2006-09-27,24862600
2006-09-28,15113600
2006-09-29,15448200
2006-10-02,13321800
2006-10-03,11759200
2006-10-04,13816500
2006-10-05,17066300
2006-10-06,12558500
2006-10-09,10366500
2006-10-10,15162600
2006-10-11,12729700
2006-10-12,11784500
2006-10-13,9580300
2006-10-16,8536200
2006-10-17,8759600
2006-10-18,10601500
2006-10-19,11570800
2006-10-20,15450000
2006-10-23,9810900
2006-10-24,10241200
2006-10-25,9693300
2006-10-26,16762600
2006-10-27,13611700
2006-10-30,28379500
2006-10-31,28502100
2006-11-01,11813800
2006-11-02,12443900
2006-11-03,12180600
2006-11-06,11771800
2006-11-07,11253900
2006-11-08,8041300
2006-11-09,11179200
2006-11-10,13141600
2006-11-13,9826700
2006-11-14,12984900
2006-11-15,9767400
2006-11-16,10884500
2006-11-17,11584800
2006-11-20,14013500
2006-11-21,16851400
