time_captured,CVX_High
2006-01-03,59.1
2006-01-04,59.08
2006-01-05,58.96
2006-01-06,59.57
2006-01-09,59.58
2006-01-10,59.48
2006-01-11,60.0
2006-01-12,60.59
2006-01-13,60.62
2006-01-17,61.9
2006-01-18,62.0
2006-01-19,61.75
2006-01-20,62.43
2006-01-23,62.38
2006-01-24,62.72
2006-01-25,62.55
2006-01-26,61.5
2006-01-27,60.76
2006-01-30,60.85
2006-01-31,60.6
2006-02-01,59.8
2006-02-02,59.05
2006-02-03,58.69
2006-02-06,59.42
2006-02-07,58.54
2006-02-08,58.18
2006-02-09,58.97
2006-02-10,58.39
2006-02-13,58.24
2006-02-14,56.3
2006-02-15,56.37
2006-02-16,56.59
2006-02-17,57.39
2006-02-21,58.4
2006-02-22,57.9
2006-02-23,57.75
2006-02-24,57.97
2006-02-27,57.72
2006-02-28,56.84
2006-03-01,57.29
2006-03-02,57.59
2006-03-03,57.44
2006-03-06,56.86
2006-03-07,55.94
2006-03-08,55.63
2006-03-09,55.6
2006-03-10,54.6
2006-03-13,55.38
2006-03-14,56.47
2006-03-15,56.6
2006-03-16,58.03
2006-03-17,58.04
2006-03-20,57.43
2006-03-21,57.1
2006-03-22,57.24
2006-03-23,56.87
2006-03-24,57.8
2006-03-27,58.42
2006-03-28,58.87
2006-03-29,58.83
2006-03-30,59.29
2006-03-31,58.42
2006-04-03,59.2
2006-04-04,59.15
2006-04-05,59.51
2006-04-06,59.84
2006-04-07,59.69
2006-04-10,59.82
2006-04-11,60.53
2006-04-12,59.76
2006-04-13,58.95
2006-04-17,59.48
2006-04-18,60.96
2006-04-19,61.43
2006-04-20,60.93
2006-04-21,61.51
2006-04-24,61.69
2006-04-25,61.94
2006-04-26,61.79
2006-04-27,60.98
2006-04-28,61.39
2006-05-01,62.0
2006-05-02,62.95
2006-05-03,62.74
2006-05-04,62.45
2006-05-05,62.9
2006-05-08,62.35
2006-05-09,63.18
2006-05-10,62.96
2006-05-11,63.65
2006-05-12,62.81
2006-05-15,61.6
2006-05-16,61.82
2006-05-17,60.93
2006-05-18,59.65
2006-05-19,59.3
2006-05-22,58.75
2006-05-23,59.6
2006-05-24,58.51
2006-05-25,59.74
2006-05-26,59.93
2006-05-30,60.08
2006-05-31,59.83
2006-06-01,60.2
2006-06-02,60.85
2006-06-05,61.29
2006-06-06,59.72
2006-06-07,59.71
2006-06-08,58.0
2006-06-09,58.32
2006-06-12,58.41
2006-06-13,58.16
2006-06-14,57.85
2006-06-15,59.74
2006-06-16,59.31
2006-06-19,58.72
2006-06-20,58.38
2006-06-21,59.19
2006-06-22,58.97
2006-06-23,59.28
2006-06-26,59.85
2006-06-27,61.39
2006-06-28,61.48
2006-06-29,62.98
2006-06-30,62.7
2006-07-03,63.0
2006-07-05,64.03
2006-07-06,64.6
2006-07-07,65.0
2006-07-10,64.5
2006-07-11,65.54
2006-07-12,65.89
2006-07-13,65.81
2006-07-14,66.79
2006-07-17,66.34
2006-07-18,66.07
