time_captured,UTX_Volume
2006-01-03,3716500
2006-01-04,3114500
2006-01-05,3118900
2006-01-06,2874300
2006-01-09,2467200
2006-01-10,3677300
2006-01-11,3161100
2006-01-12,4025300
2006-01-13,2136600
2006-01-17,3092600
2006-01-18,2574400
2006-01-19,2620600
2006-01-20,4392700
2006-01-23,3238400
2006-01-24,6805800
2006-01-25,6485500
2006-01-26,6675600
2006-01-27,6284200
2006-01-30,4657500
2006-01-31,3981300
2006-02-01,4622900
2006-02-02,3668600
2006-02-03,4889200
2006-02-06,3623100
2006-02-07,3313600
2006-02-08,2780900
2006-02-09,2973100
2006-02-10,2918800
2006-02-13,2523400
2006-02-14,2685300
2006-02-15,2384000
2006-02-16,2618600
2006-02-17,3250400
2006-02-21,3188400
2006-02-22,3469400
2006-02-23,2292400
2006-02-24,2475600
2006-02-27,3247100
2006-02-28,3531800
2006-03-01,3421800
2006-03-02,3299100
2006-03-03,3458800
2006-03-06,3296300
2006-03-07,3042400
2006-03-08,2356200
2006-03-09,3147800
2006-03-10,2905700
2006-03-13,2301500
2006-03-14,2321600
2006-03-15,4114800
2006-03-16,3109000
2006-03-17,4794400
2006-03-20,2635300
2006-03-21,3019100
2006-03-22,2325900
2006-03-23,2095000
2006-03-24,2740700
2006-03-27,2406100
2006-03-28,3295700
2006-03-29,3303900
2006-03-30,2871300
2006-03-31,3059900
2006-04-03,2238100
2006-04-04,2204000
2006-04-05,2267300
2006-04-06,2051000
2006-04-07,3433500
2006-04-10,2140500
2006-04-11,2744000
2006-04-12,2337700
2006-04-13,3883800
2006-04-17,2460400
2006-04-18,6099300
2006-04-19,12423000
2006-04-20,7998300
2006-04-21,5136900
2006-04-24,3491500
2006-04-25,4177000
2006-04-26,3585500
2006-04-27,4020800
2006-04-28,6749500
2006-05-01,3724700
2006-05-02,2572700
2006-05-03,2300700
2006-05-04,2773300
2006-05-05,3395500
2006-05-08,4074800
2006-05-09,3211200
2006-05-10,5291300
2006-05-11,4411000
2006-05-12,7203400
2006-05-15,4841000
2006-05-16,5067200
2006-05-17,4736600
2006-05-18,3411000
2006-05-19,4115900
2006-05-22,3047000
2006-05-23,3585300
2006-05-24,4752900
2006-05-25,2757600
2006-05-26,2363700
2006-05-30,3384500
2006-05-31,4260000
2006-06-01,3086400
2006-06-02,3451300
2006-06-05,3721000
2006-06-06,7607500
2006-06-07,4708000
2006-06-08,5955300
2006-06-09,3915500
2006-06-12,3751200
2006-06-13,4382000
2006-06-14,3650400
2006-06-15,4543700
2006-06-16,6000400
2006-06-19,2941000
2006-06-20,2237100
2006-06-21,3388700
2006-06-22,2721700
2006-06-23,3085600
2006-06-26,2313100
2006-06-27,2524500
2006-06-28,2072100
2006-06-29,3765000
2006-06-30,3713500
2006-07-03,1736900
2006-07-05,3393700
2006-07-06,2774900
2006-07-07,2879900
2006-07-10,2138100
2006-07-11,2920800
2006-07-12,3270200
2006-07-13,4154600
2006-07-14,7604600
2006-07-17,7132800
2006-07-18,9871700
2006-07-19,8326800
2006-07-20,6266800
2006-07-21,5622100
2006-07-24,5332600
2006-07-25,4423300
2006-07-26,4157100
2006-07-27,4189500
2006-07-28,3517400
2006-07-31,2315100
2006-08-01,3659500
2006-08-02,2475500
2006-08-03,4211900
2006-08-04,2695800
2006-08-07,3115700
2006-08-08,3478200
2006-08-09,5094500
2006-08-10,3878500
2006-08-11,1991800
2006-08-14,2493100
2006-08-15,2044700
2006-08-16,2633300
2006-08-17,2373700
2006-08-18,2552000
2006-08-21,1866500
2006-08-22,2174000
2006-08-23,1879600
2006-08-24,2289000
2006-08-25,1743900
2006-08-28,2580900
2006-08-29,3403800
2006-08-30,2331500
2006-08-31,2792800
2006-09-01,2796200
2006-09-05,3104800
2006-09-06,4027900
2006-09-07,2579900
2006-09-08,1613300
2006-09-11,3018600
2006-09-12,3660800
2006-09-13,2614400
2006-09-14,3310400
2006-09-15,5655600
2006-09-18,3079300
2006-09-19,2315300
2006-09-20,3514600
2006-09-21,4782400
2006-09-22,3630500
2006-09-25,4219400
2006-09-26,3724400
2006-09-27,2932100
2006-09-28,3715300
2006-09-29,4488700
2006-10-02,2798600
2006-10-03,3400500
2006-10-04,3482300
2006-10-05,2862000
2006-10-06,2500300
2006-10-09,2114900
2006-10-10,2424100
2006-10-11,2495300
2006-10-12,2780000
2006-10-13,3604600
2006-10-16,3464700
2006-10-17,6777800
2006-10-18,4870600
2006-10-19,3707500
2006-10-20,4222900
2006-10-23,2534000
2006-10-24,2709900
2006-10-25,2852700
2006-10-26,3080100
2006-10-27,2851700
2006-10-30,2098200
2006-10-31,4157900
2006-11-01,5548200
2006-11-02,2646900
2006-11-03,2929100
2006-11-06,3571400
2006-11-07,2924700
2006-11-08,2739500
2006-11-09,2969200
2006-11-10,2589700
2006-11-13,3160100
2006-11-14,2869700
2006-11-15,3292000
2006-11-16,3866200
2006-11-17,4332200
2006-11-20,2098100
2006-11-21,2639500
2006-11-22,1702900
2006-11-24,933000
2006-11-27,3942300
2006-11-28,3481400
2006-11-29,3339700
2006-11-30,3847300
2006-12-01,4806300
2006-12-04,4071000
2006-12-05,2876300
2006-12-06,3823500
2006-12-07,2674700
2006-12-08,3330400
2006-12-11,3391300
2006-12-12,4761800
2006-12-13,4135500
2006-12-14,17070300
2006-12-15,8231300
2006-12-18,5080100
2006-12-19,6435300
2006-12-20,5654800
2006-12-21,4062600
2006-12-22,3054100
2006-12-26,1911800
2006-12-27,2264700
2006-12-28,2533900
2006-12-29,1896500
2007-01-03,4784900
2007-01-04,4930700
2007-01-05,4354300
2007-01-08,3347200
2007-01-09,4525100
2007-01-10,5164200
2007-01-11,5006700
2007-01-12,5310900
2007-01-16,4114400
2007-01-17,4361200
2007-01-18,4208500
2007-01-19,4185200
2007-01-22,4915100
2007-01-23,8117700
2007-01-24,5265000
2007-01-25,4677700
2007-01-26,4598900
2007-01-29,4321000
2007-01-30,7571000
2007-01-31,5206700
2007-02-01,5902800
2007-02-02,4539400
2007-02-05,3531900
2007-02-06,3606400
2007-02-07,2882300
2007-02-08,3006300
2007-02-09,2040900
2007-02-12,4108295
2007-02-13,3017432
2007-02-14,3817790
2007-02-15,5399300
2007-02-16,3320400
2007-02-20,6113500
2007-02-21,4555300
2007-02-22,3133700
2007-02-23,2619700
2007-02-26,3182756
2007-02-27,7012700
2007-02-28,6182800
2007-03-01,7019909
2007-03-02,5195100
2007-03-05,5186700
2007-03-06,4864700
2007-03-07,4072600
2007-03-08,2445300
2007-03-09,2560100
2007-03-12,2535300
2007-03-13,4101300
2007-03-14,4775800
2007-03-15,3967880
2007-03-16,5470600
2007-03-19,3345300
2007-03-20,2640100
2007-03-21,3931975
2007-03-22,3305600
2007-03-23,3403500
2007-03-26,7351700
2007-03-27,4106527
2007-03-28,3946500
2007-03-29,4849482
2007-03-30,5052050
2007-04-02,4150900
2007-04-03,4352864
2007-04-04,7150800
2007-04-05,4147700
2007-04-09,3928975
2007-04-10,8322478
2007-04-11,6784569
2007-04-12,4130023
2007-04-13,3631400
2007-04-16,4239591
2007-04-17,4764430
2007-04-18,7113686
2007-04-19,4944136
2007-04-20,7625573
2007-04-23,6091257
2007-04-24,5322449
2007-04-25,3873002
2007-04-26,3804706
2007-04-27,3340971
2007-04-30,3744686
2007-05-01,3258000
2007-05-02,4488402
2007-05-03,4688005
2007-05-04,3379222
2007-05-07,4196950
2007-05-08,3289580
2007-05-09,3240477
2007-05-10,3212998
2007-05-11,2450900
2007-05-14,3020781
2007-05-15,5641500
2007-05-16,3279825
2007-05-17,4239100
2007-05-18,4731878
2007-05-21,5071379
2007-05-22,4175484
2007-05-23,3798004
2007-05-24,4000114
2007-05-25,2918600
2007-05-29,3278900
2007-05-30,3603508
2007-05-31,5445117
2007-06-01,4572876
2007-06-04,3013243
2007-06-05,4392400
2007-06-06,3610165
2007-06-07,4266534
2007-06-08,5808300
2007-06-11,3202400
2007-06-12,4509900
2007-06-13,4979000
2007-06-14,3382900
2007-06-15,6134520
2007-06-18,3544588
2007-06-19,4272920
2007-06-20,4363800
2007-06-21,4057359
2007-06-22,6117600
2007-06-25,4342400
2007-06-26,4106300
2007-06-27,3912491
2007-06-28,3380410
2007-06-29,4027310
2007-07-02,4087063
2007-07-03,1759387
2007-07-05,3189041
2007-07-06,2498089
2007-07-09,3453831
2007-07-10,5336103
2007-07-11,4394367
2007-07-12,3958411
2007-07-13,4908800
2007-07-16,7356737
2007-07-17,8754124
2007-07-18,8713900
2007-07-19,8376400
2007-07-20,6738600
2007-07-23,5154500
2007-07-24,5904000
2007-07-25,4735900
2007-07-26,9357762
2007-07-27,7375800
2007-07-30,4969800
2007-07-31,5920000
2007-08-01,7021985
2007-08-02,4884050
2007-08-03,6266200
2007-08-06,6103302
2007-08-07,5499600
2007-08-08,5338600
2007-08-09,6198000
2007-08-10,5874500
2007-08-13,3852700
2007-08-14,3950200
2007-08-15,4539840
2007-08-16,9438100
2007-08-17,8435000
2007-08-20,6394375
2007-08-21,5521400
2007-08-22,4473800
2007-08-23,3478400
2007-08-24,2980100
2007-08-27,2664638
2007-08-28,4198200
2007-08-29,4129500
2007-08-30,2768400
2007-08-31,3931500
2007-09-04,4476600
2007-09-05,4521200
2007-09-06,3679900
2007-09-07,3810400
2007-09-10,3068314
2007-09-11,5534100
2007-09-12,3507400
2007-09-13,4020827
2007-09-14,4088500
2007-09-17,2595400
2007-09-18,5398900
2007-09-19,5137900
2007-09-20,3814300
2007-09-21,6473800
2007-09-24,3858800
2007-09-25,4668900
2007-09-26,4652700
2007-09-27,3393000
2007-09-28,3197000
2007-10-01,4624600
2007-10-02,4354417
2007-10-03,4407600
2007-10-04,2254300
2007-10-05,4040756
2007-10-08,3212000
2007-10-09,2957700
2007-10-10,3480900
2007-10-11,4732800
2007-10-12,2965942
2007-10-15,3243300
2007-10-16,4013000
2007-10-17,14338681
2007-10-18,6536400
2007-10-19,9964500
2007-10-22,5903685
2007-10-23,4091800
2007-10-24,5271600
2007-10-25,5572700
2007-10-26,5768500
2007-10-29,2989300
2007-10-30,3755500
2007-10-31,5291600
2007-11-01,5299400
2007-11-02,3816400
2007-11-05,3896780
2007-11-06,3531808
2007-11-07,4955882
2007-11-08,6180191
2007-11-09,6889435
2007-11-12,5271646
2007-11-13,4360885
2007-11-14,3658243
2007-11-15,4676779
2007-11-16,4670003
2007-11-19,5527383
2007-11-20,5331113
2007-11-21,4394729
2007-11-23,1473198
2007-11-26,3940105
2007-11-27,5244938
2007-11-28,5746754
2007-11-29,3190399
2007-11-30,5345414
2007-12-03,4781380
2007-12-04,3440349
2007-12-05,4847622
2007-12-06,4550521
2007-12-07,3622373
2007-12-10,2401091
2007-12-11,5599074
2007-12-12,5224781
2007-12-13,3458550
2007-12-14,5065142
2007-12-17,4470305
2007-12-18,4397322
2007-12-19,3843937
2007-12-20,3471554
2007-12-21,6681497
2007-12-24,2477770
2007-12-26,2529389
2007-12-27,2368055
2007-12-28,1977145
2007-12-31,2467085
2008-01-02,4262847
2008-01-03,4355958
2008-01-04,5540607
2008-01-07,5850842
2008-01-08,8250884
2008-01-09,9232227
2008-01-10,7131511
2008-01-11,5701673
2008-01-14,4291891
2008-01-15,4562427
2008-01-16,7095557
2008-01-17,9203458
2008-01-18,9047533
2008-01-22,11280064
2008-01-23,12316851
2008-01-24,8412358
2008-01-25,8006213
2008-01-28,5819872
2008-01-29,4904147
2008-01-30,6561314
2008-01-31,7026037
2008-02-01,4608911
2008-02-04,3344013
2008-02-05,6287780
2008-02-06,4699265
2008-02-07,7422495
2008-02-08,5001161
2008-02-11,3630796
2008-02-12,5039655
2008-02-13,4689967
2008-02-14,4003445
2008-02-15,5271627
2008-02-19,3932531
2008-02-20,3693098
2008-02-21,4581183
2008-02-22,3706752
2008-02-25,6395733
2008-02-26,5176375
2008-02-27,5050873
2008-02-28,4218887
2008-02-29,4676424
2008-03-03,8237380
2008-03-04,8104364
2008-03-05,5346797
2008-03-06,4907617
2008-03-07,6758124
2008-03-10,7074116
2008-03-11,5994387
2008-03-12,4332219
2008-03-13,5171898
2008-03-14,6022478
2008-03-17,7766207
2008-03-18,7056971
2008-03-19,6099350
2008-03-20,6409262
2008-03-24,4318873
2008-03-25,4623922
2008-03-26,4235379
2008-03-27,4293423
2008-03-28,4842180
2008-03-31,5188800
2008-04-01,7358038
2008-04-02,5325670
2008-04-03,3648135
2008-04-04,4539681
2008-04-07,3915777
2008-04-08,3091575
2008-04-09,4340137
2008-04-10,4457404
2008-04-11,7797349
2008-04-14,5100925
2008-04-15,4403928
2008-04-16,6431234
2008-04-17,6664360
2008-04-18,7034797
2008-04-21,3622887
2008-04-22,4094111
2008-04-23,4533700
2008-04-24,4519053
2008-04-25,3400089
2008-04-28,4060981
2008-04-29,3380834
2008-04-30,5036357
2008-05-01,5167111
2008-05-02,5497116
2008-05-05,3386145
2008-05-06,2564234
2008-05-07,4349483
2008-05-08,3825816
2008-05-09,3988134
2008-05-12,3333198
2008-05-13,3396728
2008-05-14,4478960
2008-05-15,4927968
2008-05-16,5709621
2008-05-19,3627689
2008-05-20,5023555
2008-05-21,6014020
2008-05-22,3920746
2008-05-23,7029680
2008-05-27,4619363
2008-05-28,4960356
2008-05-29,5738150
2008-05-30,5305563
2008-06-02,4366410
2008-06-03,6935294
