time_captured,GOOGL_Open
2006-01-03,211.47
2006-01-04,222.17
2006-01-05,223.22
2006-01-06,228.66
2006-01-09,233.44
2006-01-10,232.44
2006-01-11,235.87
2006-01-12,237.1
2006-01-13,232.39
2006-01-17,231.76
2006-01-18,223.87
2006-01-19,225.81
2006-01-20,219.57
2006-01-23,203.89
2006-01-24,218.23
2006-01-25,225.86
2006-01-26,219.99
2006-01-27,217.72
2006-01-30,214.83
2006-01-31,215.5
2006-02-01,194.71
2006-02-02,202.11
2006-02-03,197.01
2006-02-06,192.85
2006-02-07,191.69
2006-02-08,184.42
2006-02-09,185.79
2006-02-10,181.16
2006-02-13,173.49
2006-02-14,172.84
2006-02-15,170.81
2006-02-16,173.01
2006-02-17,185.11
2006-02-21,183.4
2006-02-22,183.76
2006-02-23,182.99
2006-02-24,188.84
2006-02-27,190.83
2006-02-28,196.8
2006-03-01,184.46
2006-03-02,182.32
2006-03-03,192.34
2006-03-06,190.65
2006-03-07,182.69
2006-03-08,177.14
2006-03-09,177.87
2006-03-10,171.92
2006-03-13,170.64
2006-03-14,168.74
2006-03-15,175.56
2006-03-16,174.48
2006-03-17,169.57
2006-03-20,171.34
2006-03-21,175.18
2006-03-22,170.04
2006-03-23,171.35
2006-03-24,184.49
2006-03-27,183.73
2006-03-28,186.04
2006-03-29,190.16
2006-03-30,194.79
2006-03-31,194.56
2006-04-03,194.96
2006-04-04,195.14
2006-04-05,204.31
2006-04-06,203.45
2006-04-07,206.41
2006-04-10,203.74
2006-04-11,208.42
2006-04-12,204.7
2006-04-13,204.52
2006-04-17,201.93
2006-04-18,204.17
2006-04-19,206.49
2006-04-20,205.71
2006-04-21,224.67
2006-04-24,219.92
2006-04-25,220.03
2006-04-26,214.08
2006-04-27,211.67
2006-04-28,209.52
2006-05-01,209.44
2006-05-02,200.74
2006-05-03,198.37
2006-05-04,197.71
2006-05-05,199.0
2006-05-08,197.75
2006-05-09,198.04
2006-05-10,204.36
2006-05-11,201.91
2006-05-12,191.96
2006-05-15,188.15
2006-05-16,188.18
2006-05-17,185.49
2006-05-18,189.58
2006-05-19,186.83
2006-05-22,184.11
2006-05-23,187.29
2006-05-24,188.86
2006-05-25,189.73
2006-05-26,192.47
2006-05-30,189.33
2006-05-31,187.09
2006-06-01,186.96
2006-06-02,192.92
2006-06-05,188.28
2006-06-06,188.48
2006-06-07,196.82
2006-06-08,194.07
2006-06-09,196.29
2006-06-12,194.36
2006-06-13,190.64
2006-06-14,195.11
2006-06-15,193.5
2006-06-16,194.74
2006-06-19,195.62
2006-06-20,194.21
2006-06-21,195.73
2006-06-22,200.99
2006-06-23,201.58
2006-06-26,203.58
2006-06-27,203.06
2006-06-28,202.21
2006-06-29,204.2
2006-06-30,208.01
2006-07-03,210.23
2006-07-05,210.97
2006-07-06,211.9
2006-07-07,213.24
2006-07-10,211.93
2006-07-11,209.46
2006-07-12,211.26
2006-07-13,207.21
2006-07-14,205.37
2006-07-17,202.52
2006-07-18,205.08
2006-07-19,197.7
2006-07-20,202.34
2006-07-21,193.26
2006-07-24,196.61
2006-07-25,192.7
2006-07-26,194.29
2006-07-27,193.88
2006-07-28,191.19
2006-07-31,194.19
2006-08-01,192.75
2006-08-02,187.99
2006-08-03,182.67
2006-08-04,189.97
2006-08-07,185.94
2006-08-08,191.6
2006-08-09,192.08
2006-08-10,187.13
2006-08-11,187.39
2006-08-14,185.94
2006-08-15,187.24
2006-08-16,191.93
2006-08-17,193.39
2006-08-18,193.35
2006-08-21,189.24
2006-08-22,189.06
2006-08-23,189.01
2006-08-24,187.41
2006-08-25,186.73
2006-08-28,187.99
2006-08-29,190.58
2006-08-30,189.79
2006-08-31,190.94
2006-09-01,190.69
2006-09-05,190.12
2006-09-06,191.24
2006-09-07,189.88
2006-09-08,188.55
2006-09-11,189.32
2006-09-12,192.69
2006-09-13,197.77
2006-09-14,202.35
2006-09-15,203.94
2006-09-18,205.2
2006-09-19,207.94
2006-09-20,203.75
2006-09-21,200.35
2006-09-22,202.69
2006-09-25,202.99
2006-09-26,202.95
2006-09-27,203.35
2006-09-28,202.24
2006-09-29,202.76
2006-10-02,201.15
2006-10-03,200.85
2006-10-04,202.69
2006-10-05,207.56
2006-10-06,205.32
2006-10-09,212.61
2006-10-10,216.0
2006-10-11,212.72
2006-10-12,214.49
2006-10-13,214.09
2006-10-16,214.06
2006-10-17,210.36
2006-10-18,211.71
2006-10-19,210.33
2006-10-20,229.72
2006-10-23,231.37
2006-10-24,238.38
2006-10-25,238.98
2006-10-26,244.08
2006-10-27,242.19
2006-10-30,237.65
2006-10-31,239.27
2006-11-01,239.62
2006-11-02,233.98
2006-11-03,236.35
2006-11-06,237.12
2006-11-07,238.72
2006-11-08,235.41
2006-11-09,238.49
2006-11-10,237.13
2006-11-13,237.69
2006-11-14,240.59
2006-11-15,246.96
2006-11-16,247.75
2006-11-17,246.87
2006-11-20,249.45
2006-11-21,248.52
2006-11-22,255.74
2006-11-24,252.5
2006-11-27,250.94
2006-11-28,240.81
2006-11-29,247.37
2006-11-30,242.34
2006-12-01,243.23
2006-12-04,241.74
2006-12-05,243.94
2006-12-06,243.72
2006-12-07,245.36
2006-12-08,241.21
2006-12-11,242.7
2006-12-12,242.17
2006-12-13,242.59
2006-12-14,240.37
2006-12-15,241.56
2006-12-18,241.49
2006-12-19,231.09
2006-12-20,235.23
2006-12-21,232.32
2006-12-22,228.98
2006-12-26,228.49
2006-12-27,230.23
2006-12-28,233.79
2006-12-29,231.28
2007-01-03,233.23
2007-01-04,234.73
2007-01-05,241.49
2007-01-08,244.09
2007-01-09,242.97
2007-01-10,242.46
2007-01-11,248.85
2007-01-12,251.25
2007-01-16,254.03
2007-01-17,251.95
2007-01-18,247.51
2007-01-19,244.23
2007-01-22,246.5
2007-01-23,240.64
2007-01-24,242.46
2007-01-25,250.75
2007-01-26,245.71
2007-01-29,249.25
2007-01-30,247.25
2007-01-31,248.49
2007-02-01,253.25
2007-02-02,241.55
2007-02-05,238.99
2007-02-06,234.28
2007-02-07,237.15
2007-02-08,234.26
2007-02-09,236.06
2007-02-12,230.57
2007-02-13,229.81
2007-02-14,230.23
2007-02-15,233.23
2007-02-16,231.63
2007-02-20,234.47
2007-02-21,235.15
2007-02-22,239.58
2007-02-23,238.11
2007-02-26,236.65
2007-02-27,227.73
2007-02-28,225.43
2007-03-01,221.56
2007-03-02,222.78
2007-03-05,218.73
2007-03-06,223.96
2007-03-07,231.58
2007-03-08,229.84
2007-03-09,229.23
2007-03-12,226.51
2007-03-13,225.28
2007-03-14,221.84
2007-03-15,224.15
2007-03-16,223.05
2007-03-19,221.85
2007-03-20,223.12
2007-03-21,222.87
2007-03-22,228.03
2007-03-23,230.96
2007-03-26,230.51
2007-03-27,232.01
