time_captured,INTC_Low
2006-01-03,24.9
2006-01-04,25.59
2006-01-05,25.91
2006-01-06,26.21
2006-01-09,26.09
2006-01-10,25.92
2006-01-11,25.9
2006-01-12,25.87
2006-01-13,25.54
2006-01-17,25.32
2006-01-18,22.36
2006-01-19,22.39
2006-01-20,21.75
2006-01-23,21.1
2006-01-24,21.24
2006-01-25,21.1
2006-01-26,21.27
2006-01-27,21.55
2006-01-30,21.59
2006-01-31,21.25
2006-02-01,21.23
2006-02-02,21.18
2006-02-03,20.73
2006-02-06,20.5
2006-02-07,20.52
2006-02-08,20.54
2006-02-09,20.72
2006-02-10,20.81
2006-02-13,21.07
2006-02-14,21.13
2006-02-15,21.21
2006-02-16,21.18
2006-02-17,20.56
2006-02-21,20.5
2006-02-22,19.9
2006-02-23,19.88
2006-02-24,20.13
2006-02-27,20.43
2006-02-28,20.5
2006-03-01,20.67
2006-03-02,20.38
2006-03-03,19.86
2006-03-06,20.23
2006-03-07,19.83
2006-03-08,19.82
2006-03-09,19.73
2006-03-10,19.78
2006-03-13,19.69
2006-03-14,19.64
2006-03-15,19.73
2006-03-16,19.64
2006-03-17,19.4
2006-03-20,19.45
2006-03-21,19.6
2006-03-22,19.6
2006-03-23,19.69
2006-03-24,19.31
2006-03-27,19.62
2006-03-28,19.56
2006-03-29,19.51
2006-03-30,19.65
2006-03-31,19.35
2006-04-03,19.34
2006-04-04,19.25
2006-04-05,19.28
2006-04-06,19.33
2006-04-07,19.24
2006-04-10,19.25
2006-04-11,19.12
2006-04-12,19.1
2006-04-13,19.17
2006-04-17,18.99
2006-04-18,18.6
2006-04-19,19.2
2006-04-20,19.4
2006-04-21,19.02
2006-04-24,18.9
2006-04-25,18.75
2006-04-26,19.12
2006-04-27,19.2
2006-04-28,19.91
2006-05-01,19.46
2006-05-02,19.51
2006-05-03,19.12
2006-05-04,19.21
2006-05-05,19.37
2006-05-08,19.64
2006-05-09,19.79
2006-05-10,19.5
2006-05-11,19.21
2006-05-12,19.03
2006-05-15,19.0
2006-05-16,18.93
2006-05-17,18.65
2006-05-18,18.49
2006-05-19,17.94
2006-05-22,17.97
2006-05-23,17.89
2006-05-24,17.76
2006-05-25,17.74
2006-05-26,18.01
2006-05-30,17.77
2006-05-31,17.77
2006-06-01,17.79
2006-06-02,17.96
2006-06-05,17.89
2006-06-06,17.67
2006-06-07,17.33
2006-06-08,17.05
2006-06-09,17.1
2006-06-12,16.75
2006-06-13,16.75
2006-06-14,17.49
2006-06-15,17.77
2006-06-16,18.04
2006-06-19,18.2
2006-06-20,18.07
2006-06-21,18.2
2006-06-22,18.15
2006-06-23,18.0
2006-06-26,18.12
2006-06-27,18.05
2006-06-28,18.07
2006-06-29,18.67
2006-06-30,18.94
2006-07-03,19.14
2006-07-05,18.74
2006-07-06,18.75
2006-07-07,18.5
2006-07-10,18.11
2006-07-11,18.0
2006-07-12,17.87
2006-07-13,17.69
2006-07-14,17.68
2006-07-17,17.67
2006-07-18,17.63
2006-07-19,18.05
2006-07-20,17.07
2006-07-21,16.84
2006-07-24,17.15
2006-07-25,17.31
2006-07-26,17.25
2006-07-27,17.42
2006-07-28,17.58
2006-07-31,17.98
2006-08-01,17.5
2006-08-02,17.56
2006-08-03,17.22
2006-08-04,17.26
2006-08-07,17.26
2006-08-08,17.29
2006-08-09,17.34
2006-08-10,17.3
2006-08-11,17.36
2006-08-14,17.53
2006-08-15,17.94
2006-08-16,18.13
2006-08-17,18.34
2006-08-18,18.33
2006-08-21,18.08
2006-08-22,18.08
2006-08-23,18.24
2006-08-24,18.31
2006-08-25,18.43
2006-08-28,19.02
2006-08-29,19.21
2006-08-30,19.56
2006-08-31,19.53
2006-09-01,19.55
2006-09-05,19.64
2006-09-06,19.27
2006-09-07,19.06
2006-09-08,19.2
