time_captured,NKE_High
2006-01-03,10.92
2006-01-04,10.8
2006-01-05,10.83
2006-01-06,10.83
2006-01-09,10.98
2006-01-10,10.98
2006-01-11,11.01
2006-01-12,11.02
2006-01-13,10.89
2006-01-17,10.8
2006-01-18,10.68
2006-01-19,10.62
2006-01-20,10.7
2006-01-23,10.5
2006-01-24,10.56
2006-01-25,10.57
2006-01-26,10.64
2006-01-27,10.58
2006-01-30,10.35
2006-01-31,10.26
2006-02-01,10.52
2006-02-02,10.49
2006-02-03,10.48
2006-02-06,10.72
2006-02-07,10.59
2006-02-08,10.62
2006-02-09,10.56
2006-02-10,10.59
2006-02-13,10.54
2006-02-14,10.58
2006-02-15,10.62
2006-02-16,10.64
2006-02-17,10.65
2006-02-21,10.66
2006-02-22,10.87
2006-02-23,10.93
2006-02-24,10.94
2006-02-27,10.96
2006-02-28,10.98
2006-03-01,10.89
2006-03-02,10.8
2006-03-03,10.84
2006-03-06,11.0
2006-03-07,10.71
2006-03-08,10.64
2006-03-09,10.69
2006-03-10,10.72
2006-03-13,10.63
2006-03-14,10.58
2006-03-15,10.66
2006-03-16,10.81
2006-03-17,10.74
2006-03-20,10.78
2006-03-21,10.69
2006-03-22,10.9
2006-03-23,10.89
2006-03-24,10.84
2006-03-27,10.73
2006-03-28,10.73
2006-03-29,10.69
2006-03-30,10.74
2006-03-31,10.65
2006-04-03,10.73
2006-04-04,10.65
2006-04-05,10.64
2006-04-06,10.64
2006-04-07,10.67
2006-04-10,10.51
2006-04-11,10.49
2006-04-12,10.35
2006-04-13,10.46
2006-04-17,10.41
2006-04-18,10.27
2006-04-19,10.3
2006-04-20,10.38
2006-04-21,10.39
2006-04-24,10.38
2006-04-25,10.35
2006-04-26,10.31
2006-04-27,10.24
2006-04-28,10.3
2006-05-01,10.3
2006-05-02,10.29
2006-05-03,10.22
2006-05-04,10.24
2006-05-05,10.2
2006-05-08,10.3
2006-05-09,10.36
2006-05-10,10.36
2006-05-11,10.39
2006-05-12,10.24
2006-05-15,10.21
2006-05-16,10.26
2006-05-17,10.11
2006-05-18,10.12
2006-05-19,9.96
2006-05-22,9.88
2006-05-23,10.19
2006-05-24,9.95
2006-05-25,9.97
2006-05-26,10.19
2006-05-30,10.11
2006-05-31,10.08
2006-06-01,10.19
2006-06-02,10.27
2006-06-05,10.22
2006-06-06,10.09
2006-06-07,10.15
2006-06-08,10.12
2006-06-09,10.22
2006-06-12,10.29
2006-06-13,10.28
2006-06-14,10.28
2006-06-15,10.53
2006-06-16,10.54
2006-06-19,10.51
2006-06-20,10.43
2006-06-21,10.41
2006-06-22,10.5
2006-06-23,10.62
2006-06-26,10.62
2006-06-27,10.56
2006-06-28,10.19
2006-06-29,10.16
2006-06-30,10.24
2006-07-03,10.22
2006-07-05,10.11
2006-07-06,10.05
2006-07-07,9.99
2006-07-10,9.96
2006-07-11,9.89
2006-07-12,9.86
2006-07-13,9.89
2006-07-14,9.9
2006-07-17,9.89
2006-07-18,9.9
2006-07-19,9.93
2006-07-20,9.98
2006-07-21,10.04
2006-07-24,10.12
2006-07-25,10.09
2006-07-26,10.02
2006-07-27,10.16
2006-07-28,10.03
2006-07-31,10.03
2006-08-01,9.96
2006-08-02,9.89
2006-08-03,9.79
2006-08-04,9.89
2006-08-07,9.78
2006-08-08,9.86
2006-08-09,9.71
2006-08-10,9.61
2006-08-11,9.6
2006-08-14,9.7
2006-08-15,9.72
2006-08-16,9.75
2006-08-17,9.72
2006-08-18,9.63
2006-08-21,9.63
2006-08-22,9.7
2006-08-23,9.63
2006-08-24,9.64
2006-08-25,9.62
2006-08-28,9.75
2006-08-29,10.01
2006-08-30,10.06
2006-08-31,10.12
2006-09-01,10.17
2006-09-05,10.18
2006-09-06,10.22
2006-09-07,10.12
2006-09-08,10.26
2006-09-11,10.33
2006-09-12,10.49
2006-09-13,10.42
2006-09-14,10.37
2006-09-15,10.41
2006-09-18,10.37
2006-09-19,10.29
2006-09-20,10.36
2006-09-21,10.48
2006-09-22,10.86
2006-09-25,10.87
2006-09-26,11.09
2006-09-27,11.11
2006-09-28,11.07
2006-09-29,11.06
2006-10-02,11.0
2006-10-03,11.0
2006-10-04,11.2
2006-10-05,11.18
2006-10-06,11.09
2006-10-09,11.08
2006-10-10,11.17
2006-10-11,11.09
2006-10-12,11.25
2006-10-13,11.25
2006-10-16,11.34
2006-10-17,11.29
2006-10-18,11.24
2006-10-19,11.2
2006-10-20,11.18
2006-10-23,11.3
2006-10-24,11.41
2006-10-25,11.67
2006-10-26,11.76
2006-10-27,11.66
2006-10-30,11.53
2006-10-31,11.51
2006-11-01,11.51
2006-11-02,11.61
2006-11-03,11.72
2006-11-06,11.64
2006-11-07,11.65
2006-11-08,11.67
2006-11-09,11.67
2006-11-10,11.76
2006-11-13,11.88
2006-11-14,11.85
2006-11-15,11.99
2006-11-16,11.99
2006-11-17,11.97
2006-11-20,12.06
2006-11-21,12.11
2006-11-22,12.13
2006-11-24,12.17
2006-11-27,12.11
2006-11-28,12.01
2006-11-29,12.15
2006-11-30,12.41
2006-12-01,12.39
2006-12-04,12.29
2006-12-05,12.37
2006-12-06,12.34
2006-12-07,12.32
2006-12-08,12.27
2006-12-11,12.24
2006-12-12,12.17
2006-12-13,12.07
2006-12-14,12.16
2006-12-15,12.15
2006-12-18,12.16
2006-12-19,12.04
2006-12-20,12.51
2006-12-21,12.65
2006-12-22,12.52
2006-12-26,12.56
2006-12-27,12.53
2006-12-28,12.48
2006-12-29,12.49
2007-01-03,12.46
2007-01-04,12.37
2007-01-05,12.43
2007-01-08,12.37
2007-01-09,12.49
2007-01-10,12.48
2007-01-11,12.54
2007-01-12,12.5
2007-01-16,12.5
2007-01-17,12.49
2007-01-18,12.53
2007-01-19,12.52
2007-01-22,12.52
2007-01-23,12.29
2007-01-24,12.16
2007-01-25,12.21
2007-01-26,12.08
2007-01-29,12.08
2007-01-30,12.22
2007-01-31,12.41
2007-02-01,12.63
2007-02-02,12.68
2007-02-05,12.54
2007-02-06,12.66
2007-02-07,12.88
2007-02-08,12.96
2007-02-09,13.02
2007-02-12,13.05
2007-02-13,13.2
2007-02-14,13.22
2007-02-15,13.21
2007-02-16,13.44
2007-02-20,13.39
2007-02-21,13.42
2007-02-22,13.54
2007-02-23,13.53
2007-02-26,13.61
2007-02-27,13.48
2007-02-28,13.14
2007-03-01,13.25
2007-03-02,13.24
2007-03-05,13.03
2007-03-06,13.19
2007-03-07,13.19
2007-03-08,13.3
2007-03-09,13.28
2007-03-12,13.26
2007-03-13,13.18
2007-03-14,13.14
2007-03-15,13.28
2007-03-16,13.46
2007-03-19,13.58
2007-03-20,13.67
2007-03-21,13.76
2007-03-22,13.62
2007-03-23,13.66
2007-03-26,13.68
2007-03-27,13.56
2007-03-28,13.3
2007-03-29,13.22
2007-03-30,13.34
2007-04-02,13.4
2007-04-03,13.45
2007-04-04,13.5
2007-04-05,13.46
2007-04-09,13.52
2007-04-10,13.52
2007-04-11,13.7
2007-04-12,13.58
2007-04-13,13.78
2007-04-16,13.62
2007-04-17,13.6
2007-04-18,13.52
2007-04-19,13.62
2007-04-20,13.43
2007-04-23,13.56
2007-04-24,13.47
2007-04-25,13.5
2007-04-26,13.51
2007-04-27,13.58
2007-04-30,13.75
2007-05-01,13.46
2007-05-02,13.46
2007-05-03,13.48
2007-05-04,13.46
2007-05-07,13.53
2007-05-08,13.62
2007-05-09,13.56
2007-05-10,13.5
2007-05-11,13.33
2007-05-14,13.38
2007-05-15,13.31
2007-05-16,13.34
2007-05-17,13.32
2007-05-18,13.31
2007-05-21,13.74
2007-05-22,13.84
2007-05-23,13.85
2007-05-24,13.85
2007-05-25,13.62
2007-05-29,13.81
2007-05-30,13.94
2007-05-31,14.28
2007-06-01,14.27
2007-06-04,14.4
2007-06-05,14.38
2007-06-06,14.22
2007-06-07,13.9
2007-06-08,13.34
2007-06-11,13.51
2007-06-12,13.45
2007-06-13,13.5
2007-06-14,13.48
2007-06-15,13.47
2007-06-18,13.49
2007-06-19,13.66
2007-06-20,13.75
2007-06-21,13.54
2007-06-22,13.43
2007-06-25,13.74
2007-06-26,13.75
2007-06-27,14.68
2007-06-28,14.82
2007-06-29,14.73
2007-07-02,14.85
2007-07-03,14.79
2007-07-05,14.85
2007-07-06,14.99
2007-07-09,14.91
2007-07-10,14.82
2007-07-11,14.69
2007-07-12,14.88
2007-07-13,14.82
2007-07-16,14.76
2007-07-17,14.9
2007-07-18,14.94
2007-07-19,15.09
2007-07-20,14.98
2007-07-23,14.95
2007-07-24,14.85
2007-07-25,14.64
2007-07-26,14.32
2007-07-27,14.26
2007-07-30,14.23
2007-07-31,14.41
2007-08-01,14.31
2007-08-02,14.31
2007-08-03,14.36
2007-08-06,14.4
2007-08-07,14.66
2007-08-08,14.59
2007-08-09,14.0
2007-08-10,14.02
2007-08-13,14.43
2007-08-14,14.2
2007-08-15,13.8
2007-08-16,13.45
2007-08-17,13.87
2007-08-20,13.74
2007-08-21,13.71
2007-08-22,13.75
2007-08-23,13.73
2007-08-24,13.6
2007-08-27,13.62
2007-08-28,13.6
2007-08-29,13.86
2007-08-30,14.0
2007-08-31,14.2
2007-09-04,14.31
2007-09-05,14.05
2007-09-06,14.13
2007-09-07,13.79
2007-09-10,13.9
2007-09-11,13.92
2007-09-12,14.15
2007-09-13,14.32
2007-09-14,14.36
2007-09-17,14.25
2007-09-18,14.78
2007-09-19,15.13
2007-09-20,14.75
2007-09-21,15.25
2007-09-24,14.53
2007-09-25,14.72
2007-09-26,14.7
2007-09-27,14.59
2007-09-28,14.72
2007-10-01,14.91
2007-10-02,14.97
2007-10-03,15.0
2007-10-04,14.87
2007-10-05,15.12
2007-10-08,15.12
2007-10-09,15.55
2007-10-10,15.59
2007-10-11,15.52
2007-10-12,15.86
2007-10-15,16.18
2007-10-16,16.01
2007-10-17,16.14
2007-10-18,15.9
2007-10-19,15.99
2007-10-22,15.87
2007-10-23,16.1
2007-10-24,15.98
2007-10-25,16.05
2007-10-26,16.25
2007-10-29,16.37
2007-10-30,16.36
2007-10-31,16.64
2007-11-01,16.52
2007-11-02,16.34
2007-11-05,15.98
2007-11-06,16.07
2007-11-07,16.0
2007-11-08,15.91
2007-11-09,15.71
2007-11-12,16.1
2007-11-13,16.03
2007-11-14,16.2
2007-11-15,16.0
2007-11-16,15.98
2007-11-19,15.81
2007-11-20,15.73
2007-11-21,15.98
2007-11-23,16.0
2007-11-26,15.97
2007-11-27,15.98
2007-11-28,16.4
2007-11-29,16.28
2007-11-30,16.55
2007-12-03,16.98
2007-12-04,16.84
2007-12-05,16.69
2007-12-06,16.41
2007-12-07,16.53
2007-12-10,16.52
2007-12-11,16.65
2007-12-12,16.46
2007-12-13,16.32
2007-12-14,16.28
2007-12-17,16.19
2007-12-18,15.94
2007-12-19,16.16
2007-12-20,16.85
2007-12-21,16.66
2007-12-24,16.76
2007-12-26,16.74
2007-12-27,16.56
2007-12-28,16.47
2007-12-31,16.2
2008-01-02,16.18
2008-01-03,15.94
2008-01-04,15.72
2008-01-07,15.58
2008-01-08,15.74
2008-01-09,15.51
2008-01-10,15.8
2008-01-11,15.51
2008-01-14,15.37
2008-01-15,14.97
2008-01-16,14.56
2008-01-17,14.59
2008-01-18,14.97
2008-01-22,14.5
2008-01-23,14.52
2008-01-24,14.66
2008-01-25,14.54
2008-01-28,14.43
2008-01-29,14.39
2008-01-30,14.98
2008-01-31,15.54
2008-02-01,15.63
2008-02-04,15.66
2008-02-05,15.21
2008-02-06,15.35
2008-02-07,15.26
2008-02-08,15.35
2008-02-11,15.32
2008-02-12,15.49
2008-02-13,15.68
2008-02-14,15.75
2008-02-15,15.73
2008-02-19,15.75
2008-02-20,15.38
2008-02-21,15.29
2008-02-22,15.2
2008-02-25,15.43
2008-02-26,15.75
2008-02-27,15.73
2008-02-28,15.6
2008-02-29,15.43
2008-03-03,15.13
2008-03-04,15.22
2008-03-05,15.48
2008-03-06,15.16
2008-03-07,14.93
2008-03-10,14.74
2008-03-11,14.55
2008-03-12,15.07
2008-03-13,15.34
2008-03-14,15.4
2008-03-17,15.04
2008-03-18,15.44
2008-03-19,15.73
2008-03-20,16.84
2008-03-24,17.65
2008-03-25,17.32
2008-03-26,17.1
2008-03-27,16.83
2008-03-28,16.61
2008-03-31,17.06
2008-04-01,17.48
2008-04-02,17.5
2008-04-03,17.34
2008-04-04,17.31
2008-04-07,17.24
2008-04-08,16.86
2008-04-09,16.82
2008-04-10,17.0
2008-04-11,17.0
2008-04-14,16.69
2008-04-15,16.65
2008-04-16,16.64
2008-04-17,16.93
2008-04-18,17.04
2008-04-21,17.22
2008-04-22,17.2
2008-04-23,17.24
2008-04-24,17.15
2008-04-25,17.21
2008-04-28,17.26
2008-04-29,17.13
2008-04-30,17.18
2008-05-01,17.13
2008-05-02,17.15
2008-05-05,17.12
2008-05-06,16.96
2008-05-07,17.16
2008-05-08,16.75
2008-05-09,16.32
2008-05-12,16.48
2008-05-13,16.52
2008-05-14,17.1
