time_captured,XOM_Volume
2006-01-03,23873200
2006-01-04,19086600
2006-01-05,17158600
2006-01-06,17370000
2006-01-09,17339500
2006-01-10,17913400
2006-01-11,17327100
2006-01-12,21130500
2006-01-13,17075900
2006-01-17,18193400
2006-01-18,16232700
2006-01-19,18863000
2006-01-20,25995600
2006-01-23,19545900
2006-01-24,18075000
2006-01-25,24510200
2006-01-26,24562800
2006-01-27,21407600
2006-01-30,29444900
2006-01-31,24269200
2006-02-01,20581800
2006-02-02,21403400
2006-02-03,18829100
2006-02-06,18763400
2006-02-07,21137800
2006-02-08,21988500
2006-02-09,22554900
2006-02-10,26186400
2006-02-13,16837100
2006-02-14,21023400
2006-02-15,21673200
2006-02-16,20057500
2006-02-17,19199900
2006-02-21,17652900
2006-02-22,15710600
2006-02-23,17761700
2006-02-24,13191700
2006-02-27,12552500
2006-02-28,19193300
2006-03-01,16380400
2006-03-02,19730500
2006-03-03,18222100
2006-03-06,16294100
2006-03-07,18676200
2006-03-08,22159700
2006-03-09,21827900
2006-03-10,20252800
2006-03-13,16885400
2006-03-14,18405400
2006-03-15,17999200
2006-03-16,18976400
2006-03-17,26912800
2006-03-20,16775400
2006-03-21,20732700
2006-03-22,16101600
2006-03-23,15432600
2006-03-24,15455400
2006-03-27,11839700
2006-03-28,20227300
2006-03-29,19175200
2006-03-30,15769100
2006-03-31,19310300
2006-04-03,16698100
2006-04-04,14878600
2006-04-05,15789300
2006-04-06,15409100
2006-04-07,16138900
2006-04-10,12963700
2006-04-11,14726500
2006-04-12,14118900
2006-04-13,11561100
2006-04-17,11568700
2006-04-18,22318100
2006-04-19,20923000
2006-04-20,23155000
2006-04-21,21767900
2006-04-24,16363100
2006-04-25,21781900
2006-04-26,23215100
2006-04-27,27314900
2006-04-28,20652600
2006-05-01,19772900
2006-05-02,18964600
2006-05-03,23107700
2006-05-04,23189500
2006-05-05,14158700
2006-05-08,16580400
2006-05-09,14030600
2006-05-10,15402400
2006-05-11,18024900
2006-05-12,19201500
2006-05-15,19519400
2006-05-16,15832000
2006-05-17,26918200
2006-05-18,19111000
2006-05-19,26683700
2006-05-22,23123700
2006-05-23,19849400
2006-05-24,24574900
2006-05-25,19793500
2006-05-26,13305000
2006-05-30,17866300
2006-05-31,25877700
2006-06-01,17878500
2006-06-02,17355700
2006-06-05,20576400
2006-06-06,23934700
2006-06-07,28005600
2006-06-08,33407200
2006-06-09,21101600
2006-06-12,18916100
2006-06-13,27513900
2006-06-14,24868100
2006-06-15,24918800
2006-06-16,27768500
2006-06-19,20177900
2006-06-20,19858600
2006-06-21,22548600
2006-06-22,16881000
2006-06-23,15689500
2006-06-26,14053900
2006-06-27,26965100
2006-06-28,23244300
2006-06-29,26325600
2006-06-30,32346400
2006-07-03,9459900
2006-07-05,19746600
2006-07-06,23679000
2006-07-07,18528500
2006-07-10,13224400
2006-07-11,18134800
2006-07-12,17614500
2006-07-13,21658400
2006-07-14,21485800
2006-07-17,19719400
2006-07-18,21241300
2006-07-19,24998700
2006-07-20,20788000
2006-07-21,27557800
2006-07-24,22418700
2006-07-25,18625000
2006-07-26,31016900
2006-07-27,29427300
2006-07-28,20512500
2006-07-31,20220300
2006-08-01,16193500
2006-08-02,25423000
2006-08-03,21876700
2006-08-04,21470700
2006-08-07,21170200
2006-08-08,23925400
2006-08-09,27661400
2006-08-10,21962400
2006-08-11,18044600
2006-08-14,20029800
2006-08-15,27261500
2006-08-16,26537600
2006-08-17,28584900
2006-08-18,19557400
2006-08-21,22482500
2006-08-22,22965100
2006-08-23,17711600
2006-08-24,20504300
2006-08-25,18914000
2006-08-28,18134600
2006-08-29,21559900
2006-08-30,26316800
2006-08-31,19244400
2006-09-01,17580200
2006-09-05,17744000
2006-09-06,26709300
2006-09-07,24451700
2006-09-08,19666700
2006-09-11,35991500
2006-09-12,24827000
2006-09-13,21841600
2006-09-14,21183000
2006-09-15,33507900
2006-09-18,21236900
2006-09-19,19852900
2006-09-20,30412400
2006-09-21,22551700
2006-09-22,18240300
