time_captured,GE_High
2006-01-03,35.4
2006-01-04,35.4
2006-01-05,35.35
2006-01-06,35.53
2006-01-09,35.43
2006-01-10,35.31
2006-01-11,35.55
2006-01-12,35.46
2006-01-13,35.25
2006-01-17,35.63
2006-01-18,34.91
2006-01-19,34.9
2006-01-20,34.5
2006-01-23,33.67
2006-01-24,33.55
2006-01-25,33.2
2006-01-26,33.07
2006-01-27,33.02
2006-01-30,33.09
2006-01-31,32.98
2006-02-01,33.19
2006-02-02,33.29
2006-02-03,33.14
2006-02-06,32.89
2006-02-07,32.73
2006-02-08,32.79
2006-02-09,33.04
2006-02-10,33.37
2006-02-13,33.46
2006-02-14,33.54
2006-02-15,33.54
2006-02-16,33.5
2006-02-17,33.61
2006-02-21,33.75
2006-02-22,33.75
2006-02-23,33.46
2006-02-24,33.3
2006-02-27,33.35
2006-02-28,33.3
2006-03-01,33.03
2006-03-02,32.91
2006-03-03,33.34
2006-03-06,33.25
2006-03-07,33.24
2006-03-08,33.53
2006-03-09,33.54
2006-03-10,33.68
2006-03-13,33.73
2006-03-14,33.85
2006-03-15,34.52
2006-03-16,34.7
2006-03-17,34.76
2006-03-20,34.7
2006-03-21,34.69
2006-03-22,34.57
2006-03-23,34.47
2006-03-24,34.12
2006-03-27,33.94
2006-03-28,33.85
2006-03-29,34.04
2006-03-30,34.75
2006-03-31,35.0
2006-04-03,34.99
2006-04-04,34.87
2006-04-05,34.74
2006-04-06,34.55
2006-04-07,34.75
2006-04-10,34.08
2006-04-11,34.07
2006-04-12,34.53
2006-04-13,34.36
2006-04-17,33.76
2006-04-18,33.97
2006-04-19,33.97
2006-04-20,34.18
2006-04-21,34.32
2006-04-24,34.0
2006-04-25,34.06
2006-04-26,34.44
2006-04-27,34.68
2006-04-28,34.78
2006-05-01,34.72
2006-05-02,34.59
2006-05-03,34.67
2006-05-04,34.94
2006-05-05,35.22
2006-05-08,35.24
2006-05-09,35.12
2006-05-10,34.99
2006-05-11,34.67
2006-05-12,34.54
2006-05-15,34.59
2006-05-16,34.92
2006-05-17,34.85
2006-05-18,34.55
2006-05-19,34.5
2006-05-22,34.36
2006-05-23,34.22
2006-05-24,34.38
2006-05-25,34.43
2006-05-26,34.53
2006-05-30,34.37
2006-05-31,34.26
2006-06-01,34.62
2006-06-02,34.81
2006-06-05,34.62
2006-06-06,34.58
2006-06-07,34.92
2006-06-08,34.6
2006-06-09,34.6
2006-06-12,34.27
2006-06-13,34.21
2006-06-14,33.99
2006-06-15,34.24
2006-06-16,34.01
2006-06-19,33.95
2006-06-20,33.82
2006-06-21,33.89
2006-06-22,33.46
2006-06-23,33.37
2006-06-26,33.27
2006-06-27,33.27
2006-06-28,33.04
2006-06-29,33.28
2006-06-30,33.37
2006-07-03,33.37
2006-07-05,33.43
2006-07-06,33.62
2006-07-07,33.51
2006-07-10,33.46
2006-07-11,33.38
2006-07-12,33.22
2006-07-13,33.06
2006-07-14,32.37
2006-07-17,32.43
2006-07-18,32.49
2006-07-19,33.04
2006-07-20,32.94
2006-07-21,32.61
2006-07-24,32.76
2006-07-25,32.81
2006-07-26,32.77
2006-07-27,32.88
2006-07-28,33.23
2006-07-31,32.91
2006-08-01,32.8
2006-08-02,32.81
2006-08-03,32.88
2006-08-04,32.99
2006-08-07,32.83
2006-08-08,32.8
2006-08-09,32.72
2006-08-10,32.78
2006-08-11,32.78
2006-08-14,33.96
2006-08-15,33.28
2006-08-16,33.84
2006-08-17,34.0
2006-08-18,34.0
2006-08-21,34.1
2006-08-22,34.19
2006-08-23,33.87
2006-08-24,34.01
2006-08-25,33.92
2006-08-28,34.0
2006-08-29,34.24
2006-08-30,34.44
2006-08-31,34.32
2006-09-01,34.27
2006-09-05,34.13
2006-09-06,34.05
2006-09-07,34.15
2006-09-08,34.05
2006-09-11,34.43
2006-09-12,34.73
2006-09-13,34.84
2006-09-14,34.86
2006-09-15,35.0
2006-09-18,34.96
2006-09-19,34.86
2006-09-20,35.07
2006-09-21,34.9
2006-09-22,34.5
2006-09-25,34.94
2006-09-26,35.62
2006-09-27,35.65
2006-09-28,35.61
2006-09-29,35.51
2006-10-02,35.71
2006-10-03,35.88
2006-10-04,36.12
2006-10-05,36.48
2006-10-06,36.3
2006-10-09,36.24
2006-10-10,36.36
2006-10-11,36.4
2006-10-12,36.32
2006-10-13,36.11
2006-10-16,35.73
2006-10-17,35.6
2006-10-18,35.84
2006-10-19,35.49
2006-10-20,35.58
2006-10-23,35.69
2006-10-24,35.58
2006-10-25,35.65
2006-10-26,35.79
2006-10-27,35.5
2006-10-30,35.41
2006-10-31,35.35
2006-11-01,35.2
2006-11-02,34.91
2006-11-03,35.0
2006-11-06,35.41
2006-11-07,35.65
2006-11-08,35.75
2006-11-09,35.66
2006-11-10,35.31
2006-11-13,35.66
2006-11-14,35.75
2006-11-15,35.92
2006-11-16,36.13
2006-11-17,36.27
2006-11-20,36.28
2006-11-21,36.0
2006-11-22,36.09
2006-11-24,35.88
2006-11-27,35.75
2006-11-28,35.36
2006-11-29,35.44
2006-11-30,35.5
2006-12-01,35.4
2006-12-04,35.5
2006-12-05,35.5
2006-12-06,35.45
2006-12-07,35.39
2006-12-08,35.36
2006-12-11,35.52
2006-12-12,35.92
2006-12-13,35.92
2006-12-14,36.33
2006-12-15,37.51
2006-12-18,38.13
2006-12-19,38.07
2006-12-20,38.49
2006-12-21,38.06
2006-12-22,37.9
2006-12-26,37.74
2006-12-27,38.03
2006-12-28,37.76
2006-12-29,37.52
2007-01-03,38.15
2007-01-04,38.0
2007-01-05,37.76
2007-01-08,37.67
2007-01-09,37.99
2007-01-10,37.61
2007-01-11,37.96
2007-01-12,38.0
2007-01-16,38.25
2007-01-17,38.28
2007-01-18,38.17
2007-01-19,37.5
2007-01-22,37.33
2007-01-23,36.74
2007-01-24,36.75
2007-01-25,36.7
2007-01-26,36.55
2007-01-29,36.35
2007-01-30,36.34
2007-01-31,36.22
2007-02-01,36.24
2007-02-02,36.4
2007-02-05,36.48
2007-02-06,36.44
2007-02-07,36.35
2007-02-08,36.06
2007-02-09,35.84
2007-02-12,35.88
2007-02-13,36.59
2007-02-14,36.5
2007-02-15,36.47
2007-02-16,36.1
2007-02-20,36.13
2007-02-21,36.1
2007-02-22,35.88
2007-02-23,35.35
2007-02-26,35.38
2007-02-27,36.6
2007-02-28,35.08
2007-03-01,36.84
2007-03-02,35.15
2007-03-05,34.97
2007-03-06,34.84
2007-03-07,34.75
2007-03-08,34.64
2007-03-09,34.64
2007-03-12,34.63
2007-03-13,34.38
2007-03-14,34.4
2007-03-15,34.68
2007-03-16,34.84
2007-03-19,34.67
2007-03-20,34.85
2007-03-21,35.7
2007-03-22,35.84
2007-03-23,35.91
2007-03-26,36.0
2007-03-27,35.9
2007-03-28,35.73
2007-03-29,35.73
2007-03-30,35.58
2007-04-02,35.53
2007-04-03,35.6
2007-04-04,35.38
2007-04-05,35.19
2007-04-09,35.15
2007-04-10,34.99
2007-04-11,35.2
2007-04-12,35.24
2007-04-13,35.6
2007-04-16,35.6
2007-04-17,35.37
2007-04-18,35.25
2007-04-19,35.38
2007-04-20,35.24
2007-04-23,35.15
2007-04-24,34.94
2007-04-25,35.45
2007-04-26,35.85
2007-04-27,37.22
2007-04-30,37.24
2007-05-01,37.18
2007-05-02,37.56
2007-05-03,37.42
2007-05-04,37.44
2007-05-07,37.43
2007-05-08,37.19
2007-05-09,37.33
2007-05-10,37.1
2007-05-11,37.04
2007-05-14,37.0
2007-05-15,37.2
2007-05-16,36.89
2007-05-17,36.83
2007-05-18,37.27
2007-05-21,37.45
2007-05-22,37.56
2007-05-23,37.8
2007-05-24,37.81
2007-05-25,37.63
2007-05-29,37.69
2007-05-30,37.75
2007-05-31,37.79
2007-06-01,37.75
2007-06-04,38.02
2007-06-05,37.81
2007-06-06,37.4
2007-06-07,37.37
2007-06-08,37.34
2007-06-11,37.62
2007-06-12,37.49
2007-06-13,37.66
2007-06-14,37.98
2007-06-15,38.16
2007-06-18,38.18
2007-06-19,39.6
2007-06-20,39.77
2007-06-21,38.95
2007-06-22,39.15
2007-06-25,38.6
2007-06-26,38.32
2007-06-27,38.09
2007-06-28,38.38
2007-06-29,38.7
2007-07-02,38.54
2007-07-03,38.79
2007-07-05,38.67
2007-07-06,38.6
2007-07-09,38.68
2007-07-10,38.49
2007-07-11,38.24
2007-07-12,39.0
2007-07-13,40.17
2007-07-16,40.2
2007-07-17,40.95
2007-07-18,40.78
2007-07-19,40.79
2007-07-20,40.82
2007-07-23,40.96
2007-07-24,40.98
2007-07-25,40.72
2007-07-26,40.64
2007-07-27,39.74
2007-07-30,39.44
2007-07-31,39.75
2007-08-01,39.29
2007-08-02,39.18
2007-08-03,39.09
2007-08-06,39.23
2007-08-07,39.73
2007-08-08,40.46
2007-08-09,40.13
2007-08-10,38.63
2007-08-13,38.8
2007-08-14,38.19
2007-08-15,37.93
2007-08-16,37.29
2007-08-17,38.64
2007-08-20,38.5
2007-08-21,38.77
2007-08-22,39.28
2007-08-23,39.42
2007-08-24,39.47
2007-08-27,39.26
2007-08-28,38.92
2007-08-29,38.75
2007-08-30,38.72
2007-08-31,39.09
2007-09-04,39.3
2007-09-05,38.97
2007-09-06,39.45
2007-09-07,39.0
2007-09-10,39.53
2007-09-11,39.74
2007-09-12,40.25
2007-09-13,40.8
2007-09-14,40.63
2007-09-17,40.35
2007-09-18,41.75
2007-09-19,42.07
2007-09-20,41.5
2007-09-21,41.73
2007-09-24,41.34
2007-09-25,41.34
2007-09-26,41.5
2007-09-27,41.53
2007-09-28,41.5
2007-10-01,42.09
2007-10-02,42.15
2007-10-03,42.11
2007-10-04,41.87
2007-10-05,42.05
2007-10-08,41.8
2007-10-09,42.03
2007-10-10,42.08
2007-10-11,42.09
2007-10-12,41.04
2007-10-15,40.94
2007-10-16,40.86
2007-10-17,41.14
2007-10-18,41.0
2007-10-19,40.79
2007-10-22,40.24
2007-10-23,40.59
2007-10-24,40.48
2007-10-25,40.55
2007-10-26,40.5
2007-10-29,40.68
2007-10-30,40.65
2007-10-31,41.22
2007-11-01,40.98
2007-11-02,40.53
2007-11-05,40.54
2007-11-06,40.49
2007-11-07,39.92
2007-11-08,39.32
2007-11-09,38.75
2007-11-12,39.04
2007-11-13,39.25
2007-11-14,39.95
2007-11-15,38.93
2007-11-16,38.67
2007-11-19,38.51
2007-11-20,38.61
2007-11-21,37.99
2007-11-23,37.87
2007-11-26,37.75
2007-11-27,37.67
2007-11-28,38.66
2007-11-29,38.32
2007-11-30,38.67
2007-12-03,38.2
2007-12-04,36.82
2007-12-05,36.84
2007-12-06,37.29
2007-12-07,37.5
2007-12-10,37.49
2007-12-11,37.95
2007-12-12,38.14
2007-12-13,37.79
2007-12-14,37.51
2007-12-17,36.9
2007-12-18,36.93
2007-12-19,37.02
2007-12-20,36.65
2007-12-21,37.6
2007-12-24,37.77
2007-12-26,37.69
2007-12-27,37.54
2007-12-28,37.58
2007-12-31,37.3
2008-01-02,37.45
2008-01-03,37.22
2008-01-04,36.67
2008-01-07,36.5
2008-01-08,36.43
2008-01-09,35.94
2008-01-10,36.23
2008-01-11,35.6
2008-01-14,35.76
2008-01-15,35.27
2008-01-16,35.08
2008-01-17,34.8
2008-01-18,34.98
2008-01-22,34.7
2008-01-23,34.7
2008-01-24,34.76
2008-01-25,35.09
2008-01-28,34.75
2008-01-29,35.07
2008-01-30,35.72
2008-01-31,35.67
2008-02-01,36.48
2008-02-04,36.25
2008-02-05,35.09
2008-02-06,34.62
2008-02-07,34.49
2008-02-08,34.19
2008-02-11,34.19
2008-02-12,34.65
2008-02-13,35.1
2008-02-14,35.01
2008-02-15,34.51
2008-02-19,34.87
2008-02-20,34.45
2008-02-21,34.36
2008-02-22,33.8
2008-02-25,34.27
2008-02-26,34.15
2008-02-27,34.28
2008-02-28,34.0
2008-02-29,33.75
2008-03-03,33.5
2008-03-04,33.6
2008-03-05,33.95
2008-03-06,33.59
2008-03-07,32.95
2008-03-10,32.45
2008-03-11,33.4
2008-03-12,34.46
2008-03-13,34.51
2008-03-14,34.57
2008-03-17,34.73
2008-03-18,36.22
2008-03-19,36.63
2008-03-20,37.74
2008-03-24,37.67
2008-03-25,37.53
2008-03-26,37.25
2008-03-27,37.35
2008-03-28,37.06
2008-03-31,37.28
2008-04-01,38.43
2008-04-02,38.52
2008-04-03,38.03
2008-04-04,37.88
2008-04-07,37.9
2008-04-08,37.08
2008-04-09,36.9
2008-04-10,37.07
2008-04-11,33.01
2008-04-14,32.42
2008-04-15,32.11
2008-04-16,32.35
2008-04-17,32.4
2008-04-18,32.97
2008-04-21,32.74
2008-04-22,32.7
2008-04-23,32.72
2008-04-24,33.37
2008-04-25,33.39
2008-04-28,33.66
2008-04-29,33.26
2008-04-30,33.28
2008-05-01,33.29
2008-05-02,33.62
2008-05-05,33.36
2008-05-06,33.17
2008-05-07,33.1
2008-05-08,32.8
2008-05-09,32.46
2008-05-12,32.53
2008-05-13,32.7
2008-05-14,32.72
2008-05-15,32.71
2008-05-16,32.46
2008-05-19,32.7
2008-05-20,32.27
2008-05-21,31.78
2008-05-22,31.25
2008-05-23,30.97
2008-05-27,30.79
2008-05-28,30.68
2008-05-29,30.98
2008-05-30,30.93
2008-06-02,30.89
2008-06-03,30.8
2008-06-04,30.73
2008-06-05,31.14
2008-06-06,30.86
