time_captured,MRK_Close
2006-01-03,32.75
2006-01-04,33.13
2006-01-05,33.18
2006-01-06,33.12
2006-01-09,33.66
2006-01-10,33.33
2006-01-11,33.46
2006-01-12,33.48
2006-01-13,33.47
2006-01-17,33.21
2006-01-18,33.03
2006-01-19,33.32
2006-01-20,33.25
2006-01-23,32.83
2006-01-24,32.78
2006-01-25,33.19
2006-01-26,33.95
2006-01-27,34.7
2006-01-30,34.46
2006-01-31,34.5
2006-02-01,34.66
2006-02-02,33.82
2006-02-03,34.39
2006-02-06,33.83
2006-02-07,33.69
2006-02-08,34.29
2006-02-09,34.34
2006-02-10,34.31
2006-02-13,34.31
2006-02-14,34.67
2006-02-15,35.29
2006-02-16,35.98
2006-02-17,36.05
2006-02-21,35.59
2006-02-22,35.92
2006-02-23,35.41
2006-02-24,35.1
2006-02-27,35.36
2006-02-28,34.86
2006-03-01,34.96
2006-03-02,35.12
2006-03-03,35.19
2006-03-06,34.96
2006-03-07,34.9
2006-03-08,34.68
2006-03-09,34.51
2006-03-10,34.76
2006-03-13,35.2
2006-03-14,35.1
2006-03-15,35.16
2006-03-16,35.28
2006-03-17,35.64
2006-03-20,35.66
2006-03-21,35.89
2006-03-22,36.23
2006-03-23,36.2
2006-03-24,36.05
2006-03-27,36.02
2006-03-28,35.65
2006-03-29,35.8
2006-03-30,35.61
2006-03-31,35.23
2006-04-03,35.41
2006-04-04,35.48
2006-04-05,35.99
2006-04-06,34.84
2006-04-07,34.47
2006-04-10,34.42
2006-04-11,34.06
2006-04-12,33.85
2006-04-13,33.94
2006-04-17,33.8
2006-04-18,34.48
2006-04-19,34.4
2006-04-20,35.0
2006-04-21,34.74
2006-04-24,34.37
2006-04-25,34.24
2006-04-26,34.32
2006-04-27,34.6
2006-04-28,34.42
2006-05-01,34.24
2006-05-02,34.48
2006-05-03,34.15
2006-05-04,34.31
2006-05-05,34.48
2006-05-08,34.45
2006-05-09,34.43
2006-05-10,34.67
2006-05-11,34.51
2006-05-12,34.29
2006-05-15,34.69
2006-05-16,35.12
2006-05-17,34.34
2006-05-18,35.13
2006-05-19,34.42
2006-05-22,34.41
2006-05-23,34.44
2006-05-24,33.94
2006-05-25,34.39
2006-05-26,34.56
2006-05-30,33.14
2006-05-31,33.29
2006-06-01,33.8
2006-06-02,33.95
2006-06-05,33.47
2006-06-06,33.9
2006-06-07,33.96
2006-06-08,33.97
2006-06-09,33.81
2006-06-12,33.37
2006-06-13,33.66
2006-06-14,33.49
