time_captured,PFE_Low
2006-01-03,23.6
2006-01-04,23.95
2006-01-05,24.44
2006-01-06,24.63
2006-01-09,24.52
2006-01-10,24.32
2006-01-11,24.55
2006-01-12,24.47
2006-01-13,24.44
2006-01-17,24.07
2006-01-18,23.85
2006-01-19,24.63
2006-01-20,24.62
2006-01-23,24.75
2006-01-24,24.5
2006-01-25,24.29
2006-01-26,24.79
2006-01-27,25.35
2006-01-30,25.76
2006-01-31,25.51
2006-02-01,25.68
2006-02-02,25.55
2006-02-03,25.27
2006-02-06,24.95
2006-02-07,25.04
2006-02-08,25.6
2006-02-09,26.24
2006-02-10,25.35
2006-02-13,25.19
2006-02-14,25.44
2006-02-15,25.22
2006-02-16,25.37
2006-02-17,25.45
2006-02-21,25.59
2006-02-22,25.68
2006-02-23,26.04
2006-02-24,26.08
2006-02-27,26.36
2006-02-28,26.14
2006-03-01,25.82
2006-03-02,25.9
2006-03-03,25.88
2006-03-06,25.94
2006-03-07,25.82
2006-03-08,25.99
2006-03-09,26.13
2006-03-10,25.91
2006-03-13,25.87
2006-03-14,25.77
2006-03-15,25.85
2006-03-16,25.87
2006-03-17,26.09
2006-03-20,26.3
2006-03-21,26.14
2006-03-22,26.24
2006-03-23,25.96
2006-03-24,25.85
2006-03-27,25.69
2006-03-28,25.3
2006-03-29,25.11
2006-03-30,25.2
2006-03-31,24.83
2006-04-03,25.03
2006-04-04,25.01
2006-04-05,25.03
2006-04-06,24.91
2006-04-07,24.65
2006-04-10,24.51
2006-04-11,24.18
2006-04-12,24.29
2006-04-13,24.25
2006-04-17,24.34
2006-04-18,24.42
2006-04-19,24.62
2006-04-20,24.71
2006-04-21,24.75
2006-04-24,24.54
2006-04-25,24.68
2006-04-26,24.65
2006-04-27,24.86
2006-04-28,24.86
2006-05-01,24.99
2006-05-02,25.01
2006-05-03,25.11
2006-05-04,25.17
2006-05-05,25.27
2006-05-08,25.38
2006-05-09,25.43
2006-05-10,24.87
2006-05-11,24.7
2006-05-12,24.42
2006-05-15,24.52
2006-05-16,24.6
2006-05-17,24.15
2006-05-18,23.85
2006-05-19,23.6
2006-05-22,23.7
2006-05-23,23.72
2006-05-24,23.63
2006-05-25,23.6
2006-05-26,23.77
2006-05-30,23.54
2006-05-31,23.52
2006-06-01,23.72
2006-06-02,23.87
2006-06-05,23.85
2006-06-06,23.66
2006-06-07,23.89
2006-06-08,23.32
2006-06-09,23.46
2006-06-12,23.21
