time_captured,UTX_Open
2006-01-03,56.45
2006-01-04,56.8
2006-01-05,56.3
2006-01-06,56.45
2006-01-09,56.37
2006-01-10,56.44
2006-01-11,56.7
2006-01-12,55.75
2006-01-13,55.55
2006-01-17,55.85
2006-01-18,56.15
2006-01-19,55.65
2006-01-20,55.98
2006-01-23,55.01
2006-01-24,55.76
2006-01-25,56.45
2006-01-26,57.47
2006-01-27,58.24
2006-01-30,58.54
2006-01-31,58.0
2006-02-01,58.12
2006-02-02,58.2
2006-02-03,57.76
2006-02-06,57.35
2006-02-07,57.21
2006-02-08,56.79
2006-02-09,56.84
2006-02-10,56.93
2006-02-13,57.15
2006-02-14,57.34
2006-02-15,57.92
2006-02-16,58.1
2006-02-17,58.3
2006-02-21,58.25
2006-02-22,58.94
2006-02-23,58.88
2006-02-24,58.35
2006-02-27,58.88
2006-02-28,58.7
2006-03-01,58.5
2006-03-02,58.5
2006-03-03,57.92
2006-03-06,57.9
2006-03-07,57.65
2006-03-08,57.9
2006-03-09,57.53
2006-03-10,57.1
2006-03-13,57.95
2006-03-14,58.05
2006-03-15,58.06
2006-03-16,57.83
2006-03-17,58.68
2006-03-20,58.65
2006-03-21,58.4
2006-03-22,57.48
2006-03-23,59.23
2006-03-24,59.1
2006-03-27,59.16
2006-03-28,59.35
2006-03-29,58.85
2006-03-30,58.23
2006-03-31,57.93
2006-04-03,58.08
2006-04-04,57.93
2006-04-05,58.0
2006-04-06,57.98
2006-04-07,58.38
2006-04-10,57.87
2006-04-11,58.05
2006-04-12,57.56
2006-04-13,56.62
2006-04-17,57.0
2006-04-18,57.75
2006-04-19,61.3
2006-04-20,63.29
2006-04-21,64.95
2006-04-24,63.79
2006-04-25,64.6
2006-04-26,64.16
2006-04-27,63.31
2006-04-28,64.15
2006-05-01,63.0
2006-05-02,63.15
2006-05-03,63.85
2006-05-04,63.73
2006-05-05,64.3
2006-05-08,65.0
2006-05-09,64.95
2006-05-10,65.2
2006-05-11,66.03
2006-05-12,65.49
2006-05-15,64.95
2006-05-16,65.1
2006-05-17,64.85
2006-05-18,63.55
2006-05-19,62.97
2006-05-22,62.7
2006-05-23,62.98
2006-05-24,62.62
2006-05-25,62.39
2006-05-26,62.7
2006-05-30,62.65
2006-05-31,62.74
2006-06-01,62.85
