time_captured,CSCO_Open
2006-01-03,17.21
2006-01-04,17.48
2006-01-05,17.94
2006-01-06,18.51
2006-01-09,18.97
2006-01-10,18.87
2006-01-11,18.98
2006-01-12,19.27
2006-01-13,19.13
2006-01-17,18.7
2006-01-18,18.4
2006-01-19,18.85
2006-01-20,18.91
2006-01-23,18.54
2006-01-24,18.17
2006-01-25,18.35
2006-01-26,18.57
2006-01-27,18.58
2006-01-30,18.69
2006-01-31,18.7
2006-02-01,18.4
2006-02-02,18.46
2006-02-03,18.29
2006-02-06,18.03
2006-02-07,17.84
2006-02-08,19.27
2006-02-09,19.52
2006-02-10,19.61
2006-02-13,19.62
2006-02-14,19.64
2006-02-15,19.6
2006-02-16,19.91
2006-02-17,19.94
2006-02-21,19.71
2006-02-22,19.57
2006-02-23,19.62
2006-02-24,19.7
2006-02-27,19.85
2006-02-28,19.96
2006-03-01,20.38
2006-03-02,20.93
2006-03-03,20.7
2006-03-06,20.97
2006-03-07,20.93
2006-03-08,20.71
2006-03-09,20.9
2006-03-10,20.6
2006-03-13,20.87
2006-03-14,20.82
2006-03-15,21.19
2006-03-16,21.49
2006-03-17,21.44
2006-03-20,21.62
2006-03-21,21.55
2006-03-22,21.24
2006-03-23,21.29
2006-03-24,21.34
2006-03-27,21.29
2006-03-28,21.61
2006-03-29,21.4
2006-03-30,21.6
2006-03-31,21.95
2006-04-03,21.85
2006-04-04,21.53
2006-04-05,21.59
2006-04-06,21.6
2006-04-07,21.18
2006-04-10,20.8
2006-04-11,20.98
2006-04-12,20.94
2006-04-13,20.99
2006-04-17,21.15
2006-04-18,21.01
2006-04-19,21.4
2006-04-20,21.14
2006-04-21,21.0
2006-04-24,20.57
2006-04-25,20.38
2006-04-26,20.51
2006-04-27,20.58
2006-04-28,21.0
2006-05-01,21.02
2006-05-02,21.13
2006-05-03,21.63
2006-05-04,21.52
2006-05-05,21.89
2006-05-08,21.65
2006-05-09,21.7
2006-05-10,21.36
2006-05-11,20.63
2006-05-12,20.16
2006-05-15,20.38
2006-05-16,20.49
2006-05-17,19.99
2006-05-18,20.17
2006-05-19,20.4
2006-05-22,20.62
2006-05-23,20.62
2006-05-24,20.4
2006-05-25,20.61
2006-05-26,20.54
2006-05-30,20.2
2006-05-31,19.81
2006-06-01,19.68
2006-06-02,20.5
2006-06-05,20.35
2006-06-06,19.92
2006-06-07,20.26
2006-06-08,19.76
2006-06-09,19.9
2006-06-12,19.95
2006-06-13,19.39
2006-06-14,19.4
2006-06-15,19.67
2006-06-16,20.17
2006-06-19,20.01
2006-06-20,19.75
2006-06-21,19.76
2006-06-22,20.13
2006-06-23,19.61
2006-06-26,19.56
2006-06-27,19.63
2006-06-28,19.31
2006-06-29,19.43
2006-06-30,20.01
2006-07-03,19.78
2006-07-05,19.82
2006-07-06,19.62
2006-07-07,19.5
2006-07-10,19.48
2006-07-11,18.82
2006-07-12,18.58
2006-07-13,18.1
2006-07-14,18.02
2006-07-17,17.97
2006-07-18,18.03
2006-07-19,17.89
2006-07-20,18.07
2006-07-21,17.8
2006-07-24,17.68
2006-07-25,17.99
2006-07-26,17.98
2006-07-27,18.06
2006-07-28,17.84
2006-07-31,17.99
2006-08-01,17.85
2006-08-02,17.59
2006-08-03,17.32
2006-08-04,17.65
2006-08-07,17.28
2006-08-08,17.64
2006-08-09,19.41
2006-08-10,19.62
2006-08-11,19.51
2006-08-14,19.88
2006-08-15,20.45
2006-08-16,20.8
2006-08-17,20.99
2006-08-18,20.82
2006-08-21,20.61
2006-08-22,20.9
2006-08-23,21.2
2006-08-24,21.31
2006-08-25,21.03
2006-08-28,20.96
2006-08-29,21.34
2006-08-30,21.64
2006-08-31,21.65
2006-09-01,22.05
2006-09-05,22.13
2006-09-06,21.79
2006-09-07,21.53
2006-09-08,21.64
2006-09-11,21.56
2006-09-12,21.97
2006-09-13,22.62
2006-09-14,22.55
2006-09-15,22.86
2006-09-18,22.77
2006-09-19,22.8
2006-09-20,22.95
2006-09-21,23.35
2006-09-22,22.85
2006-09-25,22.97
2006-09-26,23.13
2006-09-27,23.31
2006-09-28,23.23
2006-09-29,23.44
2006-10-02,23.05
2006-10-03,22.87
2006-10-04,23.28
2006-10-05,23.91
2006-10-06,23.79
2006-10-09,24.25
2006-10-10,24.24
2006-10-11,24.21
2006-10-12,24.4
2006-10-13,24.4
2006-10-16,24.64
2006-10-17,24.45
2006-10-18,24.43
2006-10-19,24.01
2006-10-20,24.2
2006-10-23,24.45
2006-10-24,24.36
2006-10-25,24.23
2006-10-26,24.34
2006-10-27,24.11
2006-10-30,23.52
2006-10-31,24.16
2006-11-01,24.34
2006-11-02,23.98
2006-11-03,24.01
2006-11-06,24.14
2006-11-07,24.82
2006-11-08,24.67
2006-11-09,27.44
2006-11-10,26.67
2006-11-13,26.74
2006-11-14,26.7
2006-11-15,26.62
2006-11-16,26.74
2006-11-17,26.99
2006-11-20,26.98
2006-11-21,27.17
2006-11-22,26.93
2006-11-24,26.7
2006-11-27,26.76
2006-11-28,25.62
2006-11-29,27.05
2006-11-30,27.02
2006-12-01,26.95
2006-12-04,26.94
2006-12-05,27.4
2006-12-06,27.12
2006-12-07,27.2
2006-12-08,26.88
2006-12-11,26.9
2006-12-12,27.12
2006-12-13,27.34
2006-12-14,27.22
2006-12-15,27.43
2006-12-18,27.6
2006-12-19,27.47
2006-12-20,27.68
2006-12-21,27.5
2006-12-22,27.34
2006-12-26,27.04
2006-12-27,27.3
2006-12-28,27.28
2006-12-29,27.33
2007-01-03,27.46
2007-01-04,27.68
2007-01-05,28.44
2007-01-08,28.54
2007-01-09,28.72
2007-01-10,28.27
2007-01-11,28.77
2007-01-12,28.54
2007-01-16,28.59
2007-01-17,27.86
2007-01-18,27.13
2007-01-19,26.45
2007-01-22,26.75
2007-01-23,26.37
2007-01-24,26.23
2007-01-25,26.93
2007-01-26,26.16
2007-01-29,26.29
2007-01-30,26.29
2007-01-31,26.19
2007-02-01,26.67
2007-02-02,26.91
2007-02-05,27.42
2007-02-06,27.75
2007-02-07,28.62
2007-02-08,27.9
2007-02-09,28.06
2007-02-12,27.62
2007-02-13,27.66
2007-02-14,27.26
2007-02-15,27.59
2007-02-16,27.48
2007-02-20,27.56
2007-02-21,27.32
2007-02-22,27.52
2007-02-23,27.35
2007-02-26,27.64
2007-02-27,26.75
2007-02-28,25.8
2007-03-01,25.4
2007-03-02,25.69
2007-03-05,25.02
2007-03-06,25.79
2007-03-07,25.91
2007-03-08,26.17
2007-03-09,26.42
2007-03-12,25.98
2007-03-13,26.0
2007-03-14,25.5
2007-03-15,25.7
2007-03-16,25.79
2007-03-19,26.19
2007-03-20,26.33
2007-03-21,26.4
2007-03-22,26.76
2007-03-23,26.45
2007-03-26,26.23
2007-03-27,26.15
2007-03-28,25.79
2007-03-29,25.92
2007-03-30,25.43
2007-04-02,25.66
2007-04-03,25.54
2007-04-04,25.95
2007-04-05,26.02
2007-04-09,26.12
2007-04-10,26.1
2007-04-11,25.97
2007-04-12,25.78
2007-04-13,25.92
2007-04-16,26.67
2007-04-17,26.68
2007-04-18,26.66
2007-04-19,26.59
2007-04-20,27.05
2007-04-23,26.91
2007-04-24,26.65
2007-04-25,26.53
2007-04-26,26.82
2007-04-27,26.51
2007-04-30,27.0
2007-05-01,26.87
2007-05-02,27.03
2007-05-03,27.76
2007-05-04,27.94
2007-05-07,27.96
2007-05-08,27.78
2007-05-09,27.02
2007-05-10,26.37
2007-05-11,26.44
2007-05-14,26.62
2007-05-15,26.36
2007-05-16,26.3
2007-05-17,26.3
2007-05-18,26.36
2007-05-21,26.21
2007-05-22,26.38
2007-05-23,26.41
2007-05-24,26.01
2007-05-25,25.54
2007-05-29,25.59
2007-05-30,25.69
2007-05-31,26.74
2007-06-01,26.95
2007-06-04,26.72
2007-06-05,26.86
2007-06-06,26.98
2007-06-07,26.45
2007-06-08,25.88
2007-06-11,26.29
2007-06-12,26.12
2007-06-13,26.22
2007-06-14,26.53
2007-06-15,27.04
2007-06-18,27.39
2007-06-19,27.1
2007-06-20,27.38
2007-06-21,27.18
