time_captured,CAT_Volume
2006-01-03,3697500
2006-01-04,4577200
2006-01-05,4590700
2006-01-06,5692300
2006-01-09,4409300
2006-01-10,3188100
2006-01-11,2755600
2006-01-12,5322500
2006-01-13,1936700
2006-01-17,3623300
2006-01-18,3656100
2006-01-19,2375600
2006-01-20,4441300
2006-01-23,2710500
2006-01-24,3291600
2006-01-25,4772400
2006-01-26,10318100
2006-01-27,7588000
2006-01-30,5077400
2006-01-31,5674400
2006-02-01,4826100
2006-02-02,4605500
2006-02-03,3529800
2006-02-06,3745900
2006-02-07,4909100
2006-02-08,3569100
2006-02-09,4017700
2006-02-10,3167900
2006-02-13,2838400
2006-02-14,4532600
2006-02-15,4396500
2006-02-16,3483300
2006-02-17,4767900
2006-02-21,3956800
2006-02-22,5532000
2006-02-23,4974100
2006-02-24,2924100
2006-02-27,3217900
2006-02-28,4444400
2006-03-01,4193400
2006-03-02,2247700
2006-03-03,3397300
2006-03-06,5497000
2006-03-07,4904800
2006-03-08,7726100
2006-03-09,5101600
2006-03-10,5996900
2006-03-13,3401500
2006-03-14,4048600
2006-03-15,5212600
2006-03-16,5802800
2006-03-17,7015600
2006-03-20,4217900
2006-03-21,4594400
2006-03-22,3636000
2006-03-23,4874800
2006-03-24,4321200
2006-03-27,2579100
2006-03-28,3726800
2006-03-29,6588100
2006-03-30,5283600
2006-03-31,4316800
2006-04-03,5885200
2006-04-04,4606100
2006-04-05,4758400
2006-04-06,3679300
2006-04-07,4262900
2006-04-10,4040400
2006-04-11,5325200
2006-04-12,6412900
2006-04-13,4209000
2006-04-17,5469400
2006-04-18,7702500
2006-04-19,4648100
2006-04-20,3850300
2006-04-21,6891700
2006-04-24,11226000
2006-04-25,7537200
2006-04-26,4613000
2006-04-27,6142000
2006-04-28,4432600
2006-05-01,4253100
2006-05-02,3857500
2006-05-03,3639700
2006-05-04,3640800
2006-05-05,6022700
2006-05-08,2725300
2006-05-09,2969300
2006-05-10,3969300
2006-05-11,4367800
2006-05-12,4548800
2006-05-15,4918800
2006-05-16,3756300
2006-05-17,6110900
2006-05-18,6260200
2006-05-19,10337600
2006-05-22,7286400
2006-05-23,5703800
2006-05-24,6464700
2006-05-25,3761000
2006-05-26,2748000
2006-05-30,4130200
2006-05-31,4032900
2006-06-01,2910300
2006-06-02,3731000
2006-06-05,6864100
2006-06-06,8730700
2006-06-07,9782100
2006-06-08,11897800
2006-06-09,7943000
2006-06-12,6336200
2006-06-13,6267900
2006-06-14,5343500
2006-06-15,8440100
2006-06-16,6862100
2006-06-19,5341000
2006-06-20,5368800
2006-06-21,5502200
2006-06-22,3360500
2006-06-23,3331200
2006-06-26,2525900
2006-06-27,2586300
2006-06-28,2922500
2006-06-29,5138300
2006-06-30,3921100
2006-07-03,1908300
2006-07-05,5035800
2006-07-06,3175700
2006-07-07,3334000
2006-07-10,2609100
2006-07-11,3400100
2006-07-12,3876700
2006-07-13,4981100
2006-07-14,5557000
2006-07-17,5693500
2006-07-18,4852200
2006-07-19,5557600
2006-07-20,7217900
2006-07-21,14444700
2006-07-24,7135300
2006-07-25,5465200
2006-07-26,3527100
2006-07-27,6082700
2006-07-28,3027700
2006-07-31,3419800
2006-08-01,4518600
2006-08-02,3056500
2006-08-03,4899600
2006-08-04,5194900
2006-08-07,3873200
2006-08-08,4140400
2006-08-09,8318200
2006-08-10,6736000
2006-08-11,7035600
2006-08-14,8324800
2006-08-15,6886500
2006-08-16,6774900
2006-08-17,3738700
2006-08-18,5815800
2006-08-21,3925100
2006-08-22,3696500
2006-08-23,4572100
2006-08-24,8912100
2006-08-25,3964500
2006-08-28,3840800
2006-08-29,4912800
2006-08-30,4252000
2006-08-31,6410100
2006-09-01,5712000
2006-09-05,8504900
2006-09-06,5590000
2006-09-07,5196300
2006-09-08,4313300
2006-09-11,7895100
2006-09-12,12080700
2006-09-13,7132700
2006-09-14,3498800
2006-09-15,6409000
2006-09-18,5674400
2006-09-19,3997800
2006-09-20,4903400
2006-09-21,8954100
2006-09-22,11133500
2006-09-25,7680700
2006-09-26,7622500
2006-09-27,5032800
2006-09-28,5875900
2006-09-29,4280000
2006-10-02,4272700
2006-10-03,5630500
2006-10-04,7107400
2006-10-05,12215700
2006-10-06,6587800
2006-10-09,6839600
2006-10-10,4698200
2006-10-11,3445200
2006-10-12,4324500
2006-10-13,3486100
2006-10-16,6686300
2006-10-17,6039100
2006-10-18,6579300
2006-10-19,4939300
2006-10-20,67806100
2006-10-23,22143300
2006-10-24,11653800
2006-10-25,11557700
2006-10-26,10546100
2006-10-27,9045500
2006-10-30,5366100
2006-10-31,6959600
2006-11-01,9107900
2006-11-02,7880100
2006-11-03,6515000
2006-11-06,9579900
2006-11-07,7660000
2006-11-08,11510300
2006-11-09,7779700
2006-11-10,5966900
2006-11-13,5139300
2006-11-14,6206900
2006-11-15,8616700
2006-11-16,4834100
2006-11-17,7929700
2006-11-20,3759100
2006-11-21,9021500
2006-11-22,7213200
2006-11-24,2965900
2006-11-27,5817900
2006-11-28,6687700
2006-11-29,3592400
2006-11-30,3997000
2006-12-01,7193900
2006-12-04,4954800
2006-12-05,4508600
2006-12-06,6066400
2006-12-07,5392600
2006-12-08,4098700
2006-12-11,4699700
2006-12-12,6698400
2006-12-13,5110800
2006-12-14,5352800
2006-12-15,5763800
2006-12-18,5307700
2006-12-19,4305100
2006-12-20,5606100
2006-12-21,3357700
2006-12-22,2788000
2006-12-26,1933100
2006-12-27,2773800
2006-12-28,2402500
2006-12-29,2363600
2007-01-03,6138900
2007-01-04,4060200
2007-01-05,6267100
2007-01-08,3943000
2007-01-09,3929100
2007-01-10,6825100
2007-01-11,7440900
2007-01-12,6560800
2007-01-16,6843100
2007-01-17,7255600
2007-01-18,7027700
2007-01-19,5561700
2007-01-22,9881300
2007-01-23,8587900
2007-01-24,8017500
2007-01-25,7482500
2007-01-26,12450800
2007-01-29,9608800
2007-01-30,8954000
2007-01-31,9639100
2007-02-01,10273000
2007-02-02,5971800
2007-02-05,5265700
2007-02-06,4873100
2007-02-07,6546400
2007-02-08,4528600
2007-02-09,5576200
2007-02-12,4977627
2007-02-13,4965188
2007-02-14,7526254
2007-02-15,9566900
2007-02-16,4250200
2007-02-20,6964300
2007-02-21,7225500
2007-02-22,4989400
2007-02-23,3777800
2007-02-26,3990310
2007-02-27,10824700
2007-02-28,9558400
2007-03-01,7994165
2007-03-02,6037500
2007-03-05,6722500
2007-03-06,5360600
2007-03-07,5284300
2007-03-08,4206200
2007-03-09,3267700
2007-03-12,4949100
2007-03-13,6297900
2007-03-14,6611900
2007-03-15,4547500
2007-03-16,5242507
2007-03-19,5076102
2007-03-20,4730800
2007-03-21,5865424
2007-03-22,4810807
2007-03-23,4127197
2007-03-26,7726878
2007-03-27,4266800
2007-03-28,4428700
2007-03-29,3752600
2007-03-30,6216500
2007-04-02,4917200
2007-04-03,5065355
2007-04-04,3257300
2007-04-05,3632707
2007-04-09,3780650
2007-04-10,3699985
2007-04-11,3779732
2007-04-12,4017847
2007-04-13,3449689
2007-04-16,5126326
2007-04-17,7919095
2007-04-18,9469920
2007-04-19,6964783
2007-04-20,19017662
2007-04-23,10759210
2007-04-24,6847555
2007-04-25,5807574
2007-04-26,4511214
2007-04-27,6511780
2007-04-30,5221974
2007-05-01,5282992
2007-05-02,4355288
2007-05-03,4349602
2007-05-04,3468748
2007-05-07,3632588
2007-05-08,4548500
2007-05-09,5651927
2007-05-10,4537420
2007-05-11,5549483
2007-05-14,8043340
2007-05-15,5614050
2007-05-16,5897425
2007-05-17,7426400
2007-05-18,5199400
2007-05-21,4445700
2007-05-22,5171000
2007-05-23,5682658
2007-05-24,6316294
2007-05-25,3337402
2007-05-29,3817457
2007-05-30,8564674
2007-05-31,5738120
2007-06-01,6532140
2007-06-04,3227500
2007-06-05,3480865
2007-06-06,5395137
2007-06-07,6368448
2007-06-08,5266945
2007-06-11,3694052
2007-06-12,4579328
2007-06-13,7961800
2007-06-14,6189540
2007-06-15,5901000
2007-06-18,4548454
2007-06-19,4052300
2007-06-20,4162500
2007-06-21,5411873
2007-06-22,5135300
2007-06-25,4386500
2007-06-26,5537900
2007-06-27,7854800
2007-06-28,4736600
2007-06-29,7513500
2007-07-02,4867025
2007-07-03,6266966
2007-07-05,4410400
2007-07-06,4733100
2007-07-09,6499300
2007-07-10,10014122
2007-07-11,6649100
2007-07-12,7164075
2007-07-13,6341300
2007-07-16,6032870
2007-07-17,5679700
2007-07-18,7014854
2007-07-19,6260136
2007-07-20,38721885
2007-07-23,10071580
2007-07-24,8274612
2007-07-25,9410205
2007-07-26,11727186
2007-07-27,12588965
2007-07-30,6768097
2007-07-31,11029288
2007-08-01,10205070
2007-08-02,6634873
2007-08-03,7816963
2007-08-06,7033530
2007-08-07,6449713
2007-08-08,6859597
2007-08-09,8140213
2007-08-10,8463980
2007-08-13,3866700
2007-08-14,5190900
2007-08-15,7455822
2007-08-16,16053007
2007-08-17,10763560
2007-08-20,6780400
2007-08-21,4737880
2007-08-22,5237600
2007-08-23,5548600
2007-08-24,3483400
2007-08-27,3136310
2007-08-28,4653200
2007-08-29,4401300
2007-08-30,3579700
2007-08-31,3341500
2007-09-04,4471946
2007-09-05,4675800
