time_captured,BA_Open
2006-01-03,70.4
2006-01-04,70.08
2006-01-05,70.55
2006-01-06,70.34
2006-01-09,69.28
2006-01-10,68.8
2006-01-11,69.97
2006-01-12,70.25
2006-01-13,69.64
2006-01-17,69.07
2006-01-18,68.55
2006-01-19,68.16
2006-01-20,68.1
2006-01-23,65.9
2006-01-24,67.41
2006-01-25,67.71
2006-01-26,67.44
2006-01-27,68.39
2006-01-30,68.52
2006-01-31,69.0
2006-02-01,70.0
2006-02-02,71.35
2006-02-03,71.7
2006-02-06,70.65
2006-02-07,71.3
2006-02-08,71.25
2006-02-09,71.77
2006-02-10,72.1
2006-02-13,71.95
2006-02-14,72.35
2006-02-15,72.37
2006-02-16,72.65
2006-02-17,72.55
2006-02-21,73.15
2006-02-22,73.06
2006-02-23,73.95
2006-02-24,73.65
2006-02-27,74.05
2006-02-28,73.9
2006-03-01,72.56
2006-03-02,72.75
2006-03-03,72.81
2006-03-06,73.7
2006-03-07,72.66
2006-03-08,72.85
2006-03-09,72.75
2006-03-10,73.77
2006-03-13,75.21
2006-03-14,74.84
2006-03-15,75.4
2006-03-16,76.25
2006-03-17,77.2
2006-03-20,78.5
2006-03-21,78.8
2006-03-22,77.45
2006-03-23,78.61
2006-03-24,78.05
2006-03-27,78.73
2006-03-28,78.5
2006-03-29,77.95
2006-03-30,78.95
2006-03-31,78.6
2006-04-03,78.25
2006-04-04,78.58
2006-04-05,78.85
2006-04-06,79.22
2006-04-07,79.99
2006-04-10,79.62
2006-04-11,80.63
2006-04-12,81.12
2006-04-13,83.7
2006-04-17,83.2
2006-04-18,82.42
2006-04-19,83.75
2006-04-20,84.71
2006-04-21,86.2
2006-04-24,86.66
2006-04-25,86.35
2006-04-26,84.16
2006-04-27,84.54
2006-04-28,84.28
2006-05-01,83.45
2006-05-02,84.26
2006-05-03,85.4
2006-05-04,85.89
2006-05-05,87.47
2006-05-08,88.48
2006-05-09,87.61
2006-05-10,88.0
2006-05-11,89.45
2006-05-12,88.21
2006-05-15,85.76
2006-05-16,85.89
2006-05-17,86.4
2006-05-18,84.25
2006-05-19,83.0
2006-05-22,84.46
2006-05-23,86.04
2006-05-24,84.97
