time_captured,DIS_Open
2006-01-03,24.08
2006-01-04,24.5
2006-01-05,24.13
2006-01-06,24.65
2006-01-09,24.85
2006-01-10,25.02
2006-01-11,25.38
2006-01-12,25.65
2006-01-13,25.61
2006-01-17,25.83
2006-01-18,25.23
2006-01-19,24.91
2006-01-20,26.1
2006-01-23,25.75
2006-01-24,25.6
2006-01-25,26.19
2006-01-26,25.5
2006-01-27,25.16
2006-01-30,25.22
2006-01-31,25.5
2006-02-01,25.15
2006-02-02,25.15
2006-02-03,24.98
2006-02-06,25.2
2006-02-07,25.57
2006-02-08,26.66
2006-02-09,26.86
2006-02-10,26.61
2006-02-13,26.68
2006-02-14,26.56
2006-02-15,26.75
2006-02-16,26.9
2006-02-17,27.05
2006-02-21,26.51
2006-02-22,27.23
2006-02-23,27.46
2006-02-24,27.71
2006-02-27,28.0
2006-02-28,28.46
2006-03-01,28.0
2006-03-02,28.0
2006-03-03,27.94
2006-03-06,28.15
2006-03-07,27.81
2006-03-08,27.99
2006-03-09,28.13
2006-03-10,28.04
2006-03-13,28.27
2006-03-14,28.46
2006-03-15,28.6
2006-03-16,28.81
2006-03-17,28.79
2006-03-20,28.68
2006-03-21,28.57
2006-03-22,27.46
2006-03-23,27.9
2006-03-24,27.49
2006-03-27,27.4
2006-03-28,27.41
2006-03-29,27.22
2006-03-30,27.68
2006-03-31,27.85
2006-04-03,27.87
2006-04-04,27.86
2006-04-05,27.87
2006-04-06,27.68
2006-04-07,27.75
2006-04-10,27.55
2006-04-11,27.81
2006-04-12,27.77
2006-04-13,27.82
2006-04-17,27.9
2006-04-18,27.74
2006-04-19,28.09
2006-04-20,27.46
2006-04-21,27.54
2006-04-24,26.81
2006-04-25,27.43
2006-04-26,27.0
2006-04-27,27.0
2006-04-28,27.71
2006-05-01,28.01
2006-05-02,27.9
2006-05-03,27.95
2006-05-04,28.16
2006-05-05,28.5
2006-05-08,29.3
2006-05-09,28.85
2006-05-10,29.8
2006-05-11,29.85
2006-05-12,29.8
2006-05-15,29.75
2006-05-16,29.97
2006-05-17,30.28
2006-05-18,29.76
2006-05-19,29.7
2006-05-22,30.1
2006-05-23,30.1
2006-05-24,30.31
2006-05-25,30.3
2006-05-26,30.33
2006-05-30,30.46
2006-05-31,30.35
2006-06-01,30.5
2006-06-02,30.61
2006-06-05,30.62
2006-06-06,30.89
2006-06-07,30.53
2006-06-08,30.45
2006-06-09,29.92
2006-06-12,28.4
2006-06-13,28.52
2006-06-14,28.0
2006-06-15,28.64
2006-06-16,29.39
2006-06-19,29.43
2006-06-20,29.02
