time_captured,UNH_Low
2006-01-03,60.6
2006-01-04,61.6
2006-01-05,61.49
2006-01-06,62.03
2006-01-09,61.26
2006-01-10,61.44
2006-01-11,61.62
2006-01-12,61.74
2006-01-13,59.71
2006-01-17,59.98
2006-01-18,60.58
2006-01-19,59.29
2006-01-20,59.39
2006-01-23,57.72
2006-01-24,58.05
2006-01-25,57.45
2006-01-26,57.12
2006-01-27,58.01
2006-01-30,57.65
2006-01-31,58.01
2006-02-01,59.05
2006-02-02,58.75
2006-02-03,59.09
2006-02-06,58.25
2006-02-07,57.7
2006-02-08,55.25
2006-02-09,58.04
2006-02-10,57.4
2006-02-13,58.17
2006-02-14,58.5
2006-02-15,58.72
2006-02-16,58.13
2006-02-17,57.83
2006-02-21,57.94
2006-02-22,58.34
2006-02-23,59.37
2006-02-24,58.51
2006-02-27,58.82
2006-02-28,57.87
2006-03-01,57.84
2006-03-02,57.22
2006-03-03,56.49
2006-03-06,56.24
2006-03-07,56.1
2006-03-08,56.32
2006-03-09,56.28
2006-03-10,56.15
2006-03-13,53.85
2006-03-14,55.45
2006-03-15,56.55
2006-03-16,56.46
2006-03-17,56.15
2006-03-20,56.15
2006-03-21,55.56
2006-03-22,55.0
2006-03-23,55.85
2006-03-24,55.45
2006-03-27,54.83
2006-03-28,53.2
2006-03-29,55.3
2006-03-30,55.72
2006-03-31,55.5
2006-04-03,55.34
2006-04-04,55.0
2006-04-05,55.05
2006-04-06,53.72
2006-04-07,53.65
2006-04-10,51.43
2006-04-11,50.88
2006-04-12,51.55
2006-04-13,53.06
2006-04-17,51.45
2006-04-18,49.51
2006-04-19,47.44
2006-04-20,49.05
2006-04-21,49.48
2006-04-24,49.1
2006-04-25,49.19
2006-04-26,48.8
2006-04-27,46.56
2006-04-28,47.92
2006-05-01,49.3
2006-05-02,48.45
2006-05-03,46.32
2006-05-04,46.08
2006-05-05,45.92
2006-05-08,44.88
2006-05-09,43.31
2006-05-10,44.31
2006-05-11,43.93
2006-05-12,43.6
2006-05-15,45.6
2006-05-16,46.89
2006-05-17,46.2
2006-05-18,44.66
2006-05-19,44.2
2006-05-22,43.38
2006-05-23,42.75
2006-05-24,41.44
2006-05-25,42.1
2006-05-26,42.45
2006-05-30,42.8
2006-05-31,43.46
2006-06-01,44.08
2006-06-02,46.28
2006-06-05,46.04
2006-06-06,45.6
2006-06-07,46.19
2006-06-08,45.79
2006-06-09,45.62
2006-06-12,45.05
2006-06-13,44.75
2006-06-14,44.55
2006-06-15,44.2
2006-06-16,44.2
2006-06-19,43.31
2006-06-20,43.5
2006-06-21,43.5
2006-06-22,44.2
2006-06-23,44.1
2006-06-26,44.65
2006-06-27,44.17
2006-06-28,42.9
2006-06-29,44.43
2006-06-30,44.28
2006-07-03,44.4
2006-07-05,44.29
2006-07-06,44.53
2006-07-07,45.01
2006-07-10,45.45
2006-07-11,46.9
2006-07-12,47.78
2006-07-13,47.81
2006-07-14,46.97
2006-07-17,47.27
2006-07-18,47.38
2006-07-19,49.65
2006-07-20,49.47
2006-07-21,49.35
2006-07-24,49.93
2006-07-25,50.48
2006-07-26,50.28
2006-07-27,47.4
