time_captured,MCD_Low
2006-01-03,33.2
2006-01-04,33.42
2006-01-05,33.73
2006-01-06,33.81
2006-01-09,33.99
2006-01-10,34.54
2006-01-11,34.8
2006-01-12,34.74
2006-01-13,34.35
2006-01-17,34.52
2006-01-18,34.41
2006-01-19,35.0
2006-01-20,35.09
2006-01-23,35.27
2006-01-24,35.67
2006-01-25,34.55
2006-01-26,34.75
2006-01-27,34.92
2006-01-30,34.83
2006-01-31,34.9
2006-02-01,34.99
2006-02-02,35.17
2006-02-03,35.44
2006-02-06,35.9
2006-02-07,36.06
2006-02-08,36.26
2006-02-09,36.22
2006-02-10,36.11
2006-02-13,36.16
2006-02-14,36.07
2006-02-15,35.75
2006-02-16,35.86
2006-02-17,36.01
2006-02-21,35.35
2006-02-22,35.72
2006-02-23,35.5
2006-02-24,35.19
2006-02-27,35.11
2006-02-28,34.89
2006-03-01,34.43
2006-03-02,34.69
2006-03-03,34.64
2006-03-06,34.57
2006-03-07,34.43
2006-03-08,34.65
2006-03-09,34.39
2006-03-10,34.54
2006-03-13,34.11
2006-03-14,34.12
2006-03-15,34.19
2006-03-16,34.7
2006-03-17,35.0
2006-03-20,34.67
2006-03-21,34.67
2006-03-22,34.62
2006-03-23,34.36
2006-03-24,34.4
2006-03-27,34.37
2006-03-28,34.28
2006-03-29,34.16
2006-03-30,34.18
2006-03-31,34.26
2006-04-03,34.43
2006-04-04,34.57
2006-04-05,34.43
2006-04-06,34.47
2006-04-07,34.48
2006-04-10,34.95
2006-04-11,35.19
2006-04-12,34.97
2006-04-13,34.7
2006-04-17,34.05
2006-04-18,34.11
2006-04-19,34.33
2006-04-20,34.55
2006-04-21,34.36
2006-04-24,34.08
2006-04-25,33.81
2006-04-26,33.71
2006-04-27,33.85
2006-04-28,34.3
2006-05-01,34.31
2006-05-02,34.22
2006-05-03,34.32
2006-05-04,34.8
2006-05-05,34.85
2006-05-08,35.2
2006-05-09,35.57
2006-05-10,35.69
2006-05-11,35.22
2006-05-12,34.87
2006-05-15,34.61
2006-05-16,34.67
2006-05-17,34.43
2006-05-18,34.41
2006-05-19,33.97
2006-05-22,33.51
2006-05-23,33.53
2006-05-24,32.79
2006-05-25,32.88
2006-05-26,32.88
2006-05-30,32.62
2006-05-31,32.72
2006-06-01,32.96
2006-06-02,33.25
2006-06-05,33.08
2006-06-06,32.81
2006-06-07,33.3
2006-06-08,32.98
2006-06-09,33.38
2006-06-12,32.83
2006-06-13,31.73
2006-06-14,31.97
2006-06-15,32.64
2006-06-16,32.94
2006-06-19,32.76
2006-06-20,32.7
2006-06-21,32.85
2006-06-22,32.48
2006-06-23,32.5
2006-06-26,32.43
2006-06-27,32.49
2006-06-28,31.91
2006-06-29,32.4
2006-06-30,33.57
