time_captured,BA_Volume
2006-01-03,4943100
2006-01-04,3165000
2006-01-05,4598300
2006-01-06,4820200
2006-01-09,4567700
2006-01-10,3869000
2006-01-11,5011900
2006-01-12,2347000
2006-01-13,2963700
2006-01-17,2712900
2006-01-18,2659400
2006-01-19,2642700
2006-01-20,6436700
2006-01-23,4067400
2006-01-24,3581900
2006-01-25,3722700
2006-01-26,4768400
2006-01-27,3954700
2006-01-30,2048100
2006-01-31,4095000
2006-02-01,11806100
2006-02-02,6603100
2006-02-03,3786900
2006-02-06,3163000
2006-02-07,4247000
2006-02-08,2891100
2006-02-09,4149200
2006-02-10,2813100
2006-02-13,3294600
2006-02-14,4160400
2006-02-15,2797800
2006-02-16,2216800
2006-02-17,2670700
2006-02-21,3333000
2006-02-22,5008400
2006-02-23,2574300
2006-02-24,2657100
2006-02-27,1974100
2006-02-28,3903600
2006-03-01,2047500
2006-03-02,1781000
2006-03-03,2707900
2006-03-06,2347000
2006-03-07,1919500
2006-03-08,3173300
2006-03-09,3000800
2006-03-10,3029200
2006-03-13,3658300
2006-03-14,2617900
2006-03-15,2623300
2006-03-16,2633500
2006-03-17,4535500
2006-03-20,3363500
2006-03-21,4118800
2006-03-22,2525300
2006-03-23,2285900
2006-03-24,2947500
2006-03-27,3140100
2006-03-28,2902200
2006-03-29,4044400
2006-03-30,3004100
2006-03-31,2294800
2006-04-03,3303500
2006-04-04,2601000
2006-04-05,3085800
2006-04-06,2910700
2006-04-07,2710000
2006-04-10,2810700
2006-04-11,2748100
2006-04-12,6519900
2006-04-13,3230700
2006-04-17,3318000
2006-04-18,4340700
2006-04-19,3360600
2006-04-20,4445900
2006-04-21,4203000
2006-04-24,3624300
2006-04-25,4649400
2006-04-26,6190800
2006-04-27,3906500
2006-04-28,3863800
2006-05-01,3928200
2006-05-02,3012300
2006-05-03,3040800
2006-05-04,3319700
2006-05-05,3349100
2006-05-08,3334800
2006-05-09,2231900
2006-05-10,3784500
2006-05-11,2652900
2006-05-12,2932300
2006-05-15,4171300
2006-05-16,3057000
2006-05-17,5267100
2006-05-18,3616900
2006-05-19,5508200
2006-05-22,4535300
2006-05-23,4044100
2006-05-24,6731600
2006-05-25,3295700
2006-05-26,2354600
2006-05-30,3935800
2006-05-31,3953600
2006-06-01,2373600
2006-06-02,3231000
2006-06-05,3422900
2006-06-06,6325400
2006-06-07,5014700
2006-06-08,7561900
2006-06-09,3927800
2006-06-12,5244400
2006-06-13,5184600
2006-06-14,9858900
2006-06-15,8058300
2006-06-16,6020000
2006-06-19,4342200
2006-06-20,3105800
2006-06-21,3589600
2006-06-22,3634000
2006-06-23,3066100
2006-06-26,1930000
2006-06-27,3214200
2006-06-28,3171800
2006-06-29,5237200
2006-06-30,4477900
2006-07-03,1629300
2006-07-05,5663000
2006-07-06,3196000
2006-07-07,2586600
2006-07-10,2665800
2006-07-11,3823300
2006-07-12,2659500
2006-07-13,3610200
2006-07-14,5436900
2006-07-17,4515600
2006-07-18,4307600
2006-07-19,5068100
2006-07-20,4606700
2006-07-21,4032200
2006-07-24,4024500
2006-07-25,4557500
2006-07-26,6635100
2006-07-27,5202500
2006-07-28,4317100
2006-07-31,5525700
2006-08-01,4507100
2006-08-02,3784600
2006-08-03,3681200
2006-08-04,3598400
2006-08-07,3233500
2006-08-08,5676700
2006-08-09,4175500
2006-08-10,5609200
2006-08-11,3274000
2006-08-14,3772400
2006-08-15,3516300
2006-08-16,4181600
2006-08-17,2893300
2006-08-18,3426400
2006-08-21,2537700
2006-08-22,2632800
2006-08-23,2495300
2006-08-24,3308000
2006-08-25,4604300
2006-08-28,4746300
2006-08-29,7186100
2006-08-30,3851200
2006-08-31,3057800
2006-09-01,3275600
2006-09-05,2675400
2006-09-06,3042800
2006-09-07,4273000
2006-09-08,4956300
2006-09-11,3537000
2006-09-12,3314800
2006-09-13,4886400
2006-09-14,5230800
2006-09-15,4173200
2006-09-18,2407300
2006-09-19,2351900
2006-09-20,4003800
2006-09-21,4436400
2006-09-22,4682300
2006-09-25,4622200
2006-09-26,4247600
2006-09-27,4288800
2006-09-28,4450200
2006-09-29,4042100
2006-10-02,5728000
2006-10-03,5902600
2006-10-04,7234200
2006-10-05,3688300
2006-10-06,3649900
2006-10-09,4452400
2006-10-10,4005500
2006-10-11,3258000
2006-10-12,4129800
2006-10-13,4005400
2006-10-16,2474100
2006-10-17,2918200
2006-10-18,3796200
2006-10-19,2425200
2006-10-20,3017200
2006-10-23,2819400
2006-10-24,3815400
2006-10-25,7074100
2006-10-26,10621700
2006-10-27,6880500
2006-10-30,3739800
2006-10-31,3943800
2006-11-01,3180100
2006-11-02,4044600
2006-11-03,2706700
2006-11-06,3082700
2006-11-07,11849700
2006-11-08,8497300
2006-11-09,6155900
2006-11-10,5496600
2006-11-13,3360100
2006-11-14,3463100
2006-11-15,5850900
2006-11-16,6967000
2006-11-17,5748800
2006-11-20,5571500
2006-11-21,8516600
2006-11-22,4481300
2006-11-24,1213700
2006-11-27,6282400
2006-11-28,4950700
2006-11-29,4428500
2006-11-30,4194000
2006-12-01,5154400
2006-12-04,3494300
2006-12-05,4386100
2006-12-06,4216500
2006-12-07,3784600
2006-12-08,2796300
2006-12-11,2374600
2006-12-12,3639300
2006-12-13,3695100
2006-12-14,3512000
2006-12-15,5305200
2006-12-18,2627400
2006-12-19,2628900
2006-12-20,3296000
2006-12-21,2879600
2006-12-22,2511700
2006-12-26,1566200
2006-12-27,2007500
2006-12-28,1274600
